date,store_id,product_id,units_sold,demand,price,discount,promotion
2022-01-01,S004,P0019,125,111,56.86,10,0
2022-01-01,S004,P0020,52,76,124.97,10,0
2022-01-01,S005,P0001,75,84,11.46,5,0
2022-01-01,S005,P0002,131,186,48.68,10,1
2022-01-01,S005,P0003,145,143,29.57,20,1
2022-01-01,S005,P0004,143,121,7.45,10,0
2022-01-01,S005,P0005,126,148,20.02,0,0
2022-01-01,S005,P0006,59,67,53.49,5,0
2022-01-01,S005,P0007,74,85,82.73,0,0
2022-01-01,S005,P0008,165,149,73.42,0,0
2022-01-01,S005,P0009,59,94,94.75,0,0
2022-01-01,S005,P0010,132,136,70.86,0,0
2022-01-01,S005,P0011,17,15,62.12,0,0
2022-01-01,S005,P0012,71,84,133.86,5,0
2022-01-01,S005,P0013,82,116,71.03,10,0
2022-01-01,S005,P0014,63,82,161.18,10,1
2022-01-01,S005,P0015,108,93,44.36,10,0
2022-01-01,S005,P0016,59,76,32.84,0,0
2022-01-01,S005,P0017,89,88,33.04,10,0
2022-01-01,S005,P0018,68,88,22.41,0,0
2022-01-01,S005,P0019,42,47,119.15,10,0
2022-01-01,S005,P0020,79,104,28.66,10,0
2022-01-02,S001,P0001,71,84,65.63,5,0
2022-01-02,S001,P0002,116,175,74.44,10,0
2022-01-02,S001,P0003,130,156,66.15,0,0
2022-01-02,S001,P0004,82,78,91.64,10,0
2022-01-02,S001,P0005,87,103,63.35,0,0
2022-01-02,S001,P0006,77,65,36.93,5,0
2022-01-02,S001,P0007,37,127,27.22,0,0
2022-01-02,S001,P0008,37,58,37.38,5,0
2022-01-02,S001,P0009,133,126,93.21,10,0
2022-01-02,S001,P0010,105,107,129.03,10,1
2022-01-02,S001,P0011,152,130,175.19,10,1
2022-01-02,S001,P0012,168,187,96.27,10,1
2022-01-02,S001,P0013,73,107,32.72,10,0
2022-01-02,S001,P0014,81,75,70.94,0,0
2022-01-02,S001,P0015,117,110,15.17,10,1
2022-01-02,S001,P0016,25,59,35.58,0,0
2022-01-02,S001,P0017,33,42,17.76,10,0
2022-01-02,S001,P0018,172,144,66.33,10,0
2022-01-02,S001,P0019,35,52,93.29,10,0
2022-01-02,S001,P0020,93,92,119.87,10,0
2022-01-02,S002,P0001,0,137,86.71,10,0
2022-01-02,S002,P0002,61,82,31.7,0,0
2022-01-02,S002,P0003,20,58,66.64,10,0
2022-01-02,S002,P0004,40,59,36.7,5,0
2022-01-02,S002,P0005,52,115,98.83,5,0
2022-01-02,S002,P0006,116,117,66.76,10,0
2022-01-02,S002,P0007,95,95,30.0,0,0
2022-01-02,S002,P0008,99,140,29.35,0,0
2022-01-02,S002,P0009,0,158,74.78,0,0
2022-01-02,S002,P0010,179,234,101.56,25,1
2022-01-02,S002,P0011,135,137,91.4,15,1
2022-01-02,S002,P0012,75,115,65.63,15,1
2022-01-02,S002,P0013,45,75,20.47,0,0
2022-01-02,S002,P0014,84,135,134.04,10,0
2022-01-02,S002,P0015,36,152,65.22,20,1
2022-01-02,S002,P0016,0,159,107.38,0,0
2022-01-02,S002,P0017,63,92,18.69,10,0
2022-01-02,S002,P0018,74,92,26.16,5,0
2022-01-02,S002,P0019,66,101,93.88,0,0
2022-01-02,S002,P0020,77,70,134.4,0,0
2022-01-02,S003,P0001,73,91,15.76,5,0
2022-01-02,S003,P0002,175,154,63.12,10,0
2022-01-02,S003,P0003,125,145,109.88,0,0
2022-01-02,S003,P0004,39,56,19.9,0,0
2022-01-02,S003,P0005,59,75,20.05,10,0
2022-01-02,S003,P0006,70,91,40.69,0,0
2022-01-02,S003,P0007,124,132,16.3,10,0
2022-01-02,S003,P0008,121,156,132.2,5,0
2022-01-02,S003,P0009,78,105,52.56,10,0
2022-01-02,S003,P0010,92,96,32.73,20,1
2022-01-02,S003,P0011,2,163,113.61,25,1
2022-01-02,S003,P0012,62,95,90.21,15,1
2022-01-02,S003,P0013,0,83,69.14,0,0
2022-01-02,S003,P0014,52,50,84.21,0,0
2022-01-02,S003,P0015,35,185,100.93,20,1
2022-01-02,S003,P0016,126,156,126.78,0,0
2022-01-02,S003,P0017,37,42,107.38,5,0
2022-01-02,S003,P0018,65,90,127.98,10,0
2022-01-02,S003,P0019,92,107,56.72,5,0
2022-01-02,S003,P0020,60,92,73.57,5,0
2022-01-02,S004,P0001,130,160,12.67,10,0
2022-01-02,S004,P0002,121,131,23.71,0,0
2022-01-02,S004,P0003,69,81,142.86,5,0
2022-01-02,S004,P0004,20,26,38.88,5,0
2022-01-02,S004,P0005,92,178,83.84,10,0
2022-01-02,S004,P0006,149,134,40.95,5,0
2022-01-02,S004,P0007,142,164,36.85,0,0
2022-01-02,S004,P0008,28,46,84.29,5,0
2022-01-02,S004,P0009,100,142,120.17,10,0
2022-01-02,S004,P0010,103,142,23.81,20,1
2022-01-02,S004,P0011,130,205,64.39,25,1
2022-01-02,S004,P0012,90,84,94.35,15,1
2022-01-02,S004,P0013,32,144,24.95,0,0
2022-01-02,S004,P0014,58,87,175.28,0,0
2022-01-02,S004,P0015,72,65,74.92,20,1
2022-01-02,S004,P0016,67,86,122.71,0,0
2022-01-02,S004,P0017,99,138,117.24,0,0
2022-01-02,S004,P0018,94,87,169.09,5,0
2022-01-02,S004,P0019,124,148,66.93,5,0
2022-01-02,S004,P0020,56,53,114.9,5,0
2022-01-02,S005,P0001,81,75,11.7,0,0
2022-01-02,S005,P0002,0,106,40.81,10,0
2022-01-02,S005,P0003,87,100,29.13,10,0
2022-01-02,S005,P0004,77,119,7.79,10,0
2022-01-02,S005,P0005,61,95,15.31,10,0
2022-01-02,S005,P0006,122,116,56.83,10,0
2022-01-02,S005,P0007,3,4,56.72,0,0
2022-01-02,S005,P0008,64,94,58.77,10,0
2022-01-02,S005,P0009,80,104,103.03,0,0
2022-01-02,S005,P0010,0,182,72.29,10,1
2022-01-02,S005,P0011,51,62,57.17,20,1
2022-01-02,S005,P0012,117,110,131.02,10,1
2022-01-02,S005,P0013,63,118,75.5,5,0
2022-01-02,S005,P0014,47,65,160.24,5,0
2022-01-02,S005,P0015,24,118,45.46,15,1
2022-01-02,S005,P0016,72,81,35.13,0,0
2022-01-02,S005,P0017,61,60,31.63,5,0
2022-01-02,S005,P0018,177,211,28.59,10,0
2022-01-02,S005,P0019,37,61,119.41,10,0
2022-01-02,S005,P0020,56,68,26.62,10,0
2022-01-03,S001,P0001,142,132,68.55,15,1
2022-01-03,S001,P0002,92,137,78.32,0,0
2022-01-03,S001,P0003,3,106,51.3,10,1
2022-01-03,S001,P0004,55,63,91.74,5,0
2022-01-03,S001,P0005,0,172,58.17,25,1
2022-01-03,S001,P0006,72,92,36.37,15,1
2022-01-03,S001,P0007,0,101,23.81,5,0
2022-01-03,S001,P0008,56,64,42.35,0,0
2022-01-03,S001,P0009,88,109,98.1,0,0
2022-01-03,S001,P0010,17,82,138.64,0,0
2022-01-03,S001,P0011,62,86,152.23,10,0
2022-01-03,S001,P0012,165,201,88.83,20,1
2022-01-03,S001,P0013,47,64,29.75,0,0
2022-01-03,S001,P0014,50,134,81.49,5,0
2022-01-03,S001,P0015,92,86,16.43,0,0
2022-01-03,S001,P0016,0,193,45.61,15,1
2022-01-03,S001,P0017,59,80,22.74,0,0
2022-01-03,S001,P0018,134,137,72.12,0,0
2022-01-03,S001,P0019,48,68,104.22,10,0
2022-01-03,S001,P0020,85,77,94.75,25,1
2022-01-03,S002,P0001,0,189,84.32,20,1
2022-01-03,S002,P0002,64,100,33.62,5,0
2022-01-03,S002,P0003,0,84,69.5,10,1
2022-01-03,S002,P0004,9,53,37.8,0,0
2022-01-03,S002,P0005,0,150,103.86,10,1
2022-01-03,S002,P0006,140,184,67.06,25,1
2022-01-03,S002,P0007,49,89,27.9,0,0
2022-01-03,S002,P0008,126,154,30.53,0,0
2022-01-03,S002,P0009,134,145,68.23,10,0
2022-01-03,S002,P0010,116,105,86.08,10,0
2022-01-03,S002,P0011,22,144,109.82,0,0
2022-01-03,S002,P0012,44,158,70.05,20,1
2022-01-03,S002,P0013,14,70,18.11,10,0
2022-01-03,S002,P0014,0,113,125.35,10,0
2022-01-03,S002,P0015,0,158,74.64,10,0
2022-01-03,S002,P0016,113,109,69.5,25,1
2022-01-03,S002,P0017,18,87,20.44,0,0
2022-01-03,S002,P0018,96,127,29.14,10,0
2022-01-03,S002,P0019,16,145,96.98,5,0
2022-01-03,S002,P0020,6,22,82.98,25,1
2022-01-03,S003,P0001,117,168,18.83,10,1
2022-01-03,S003,P0002,59,104,60.46,0,0
2022-01-03,S003,P0003,162,175,102.13,10,1
2022-01-03,S003,P0004,42,99,20.88,10,0
2022-01-03,S003,P0005,48,72,17.78,15,1
2022-01-03,S003,P0006,27,40,28.63,15,1
2022-01-03,S003,P0007,0,109,16.06,5,0
2022-01-03,S003,P0008,114,134,123.69,10,0
2022-01-03,S003,P0009,126,131,56.93,10,0
2022-01-03,S003,P0010,127,200,52.41,5,0
2022-01-03,S003,P0011,62,65,105.49,5,0
2022-01-03,S003,P0012,137,148,93.48,25,1
2022-01-03,S003,P0013,0,166,94.01,0,0
2022-01-03,S003,P0014,64,95,89.29,5,0
2022-01-03,S003,P0015,0,47,81.54,0,0
2022-01-03,S003,P0016,86,127,87.62,25,1
2022-01-03,S003,P0017,51,58,114.31,0,0
2022-01-03,S003,P0018,43,70,125.69,5,0
2022-01-03,S003,P0019,95,134,65.05,0,0
2022-01-03,S003,P0020,149,184,77.03,20,1
2022-01-03,S004,P0001,0,207,12.83,15,1
2022-01-03,S004,P0002,75,88,18.58,10,0
2022-01-03,S004,P0003,0,111,126.27,20,1
2022-01-03,S004,P0004,54,90,55.0,0,0
2022-01-03,S004,P0005,125,125,71.68,15,1
2022-01-03,S004,P0006,92,118,29.24,25,1
2022-01-03,S004,P0007,0,88,29.23,0,0
2022-01-03,S004,P0008,86,89,98.36,10,0
2022-01-03,S004,P0009,0,129,128.21,0,0
2022-01-03,S004,P0010,0,124,25.38,10,0
2022-01-03,S004,P0011,5,166,69.83,10,0
2022-01-03,S004,P0012,94,173,114.62,25,1
2022-01-03,S004,P0013,0,113,22.69,0,0
2022-01-03,S004,P0014,61,62,151.73,10,0
2022-01-03,S004,P0015,67,67,85.0,10,0
2022-01-03,S004,P0016,14,102,116.65,10,1
2022-01-03,S004,P0017,98,136,105.0,5,0
2022-01-03,S004,P0018,111,133,185.13,10,0
2022-01-03,S004,P0019,82,75,55.99,0,0
2022-01-03,S004,P0020,71,95,111.07,25,1
2022-01-03,S005,P0001,98,117,10.87,15,1
2022-01-03,S005,P0002,0,104,38.42,10,0
2022-01-03,S005,P0003,99,120,29.53,10,1
2022-01-03,S005,P0004,48,60,6.37,10,0
2022-01-03,S005,P0005,126,130,15.19,20,1
2022-01-03,S005,P0006,99,159,57.2,20,1
2022-01-03,S005,P0007,57,81,77.66,5,0
2022-01-03,S005,P0008,38,58,54.45,5,0
2022-01-03,S005,P0009,69,108,98.97,0,0
2022-01-03,S005,P0010,0,174,67.22,10,0
2022-01-03,S005,P0011,73,93,75.78,10,0
2022-01-03,S005,P0012,42,122,143.23,10,1
2022-01-03,S005,P0013,0,100,74.98,0,0
2022-01-03,S005,P0014,83,95,178.05,0,0
2022-01-03,S005,P0015,80,116,50.38,5,0
2022-01-03,S005,P0016,0,171,41.54,10,1
2022-01-03,S005,P0017,82,115,40.18,0,0
2022-01-03,S005,P0018,65,67,18.73,10,0
2022-01-03,S005,P0019,78,68,129.42,5,0
2022-01-03,S005,P0020,50,72,25.7,10,1
2022-01-04,S001,P0001,42,67,61.66,10,0
2022-01-04,S001,P0002,113,116,69.87,0,0
2022-01-04,S001,P0003,0,96,46.51,20,1
2022-01-04,S001,P0004,58,52,88.09,5,0
2022-01-04,S001,P0005,0,129,52.34,20,1
2022-01-04,S001,P0006,0,86,37.81,10,0
2022-01-04,S001,P0007,0,185,25.59,20,1
2022-01-04,S001,P0008,109,119,43.67,10,0
2022-01-04,S001,P0009,88,101,81.46,15,1
2022-01-04,S001,P0010,0,71,133.12,0,0
2022-01-04,S001,P0011,54,70,151.43,10,0
2022-01-04,S001,P0012,65,101,75.21,10,1
2022-01-04,S001,P0013,79,126,28.99,25,1
2022-01-04,S001,P0014,147,133,76.99,10,1
2022-01-04,S001,P0015,81,75,15.01,0,0
2022-01-04,S001,P0016,100,111,40.46,0,0
2022-01-04,S001,P0017,59,62,18.23,10,1
2022-01-04,S001,P0018,63,100,57.88,10,1
2022-01-04,S001,P0019,49,80,109.44,5,0
2022-01-04,S001,P0020,52,110,127.11,10,0
2022-01-04,S002,P0001,172,180,103.11,0,0
2022-01-04,S002,P0002,90,96,29.92,10,0
2022-01-04,S002,P0003,166,139,68.92,25,1
2022-01-04,S002,P0004,92,80,37.63,10,0
2022-01-04,S002,P0005,0,64,74.22,15,1
2022-01-04,S002,P0006,98,106,71.52,0,0
2022-01-04,S002,P0007,96,112,28.57,10,1
2022-01-04,S002,P0008,96,109,26.73,0,0
2022-01-04,S002,P0009,110,161,63.42,20,1
2022-01-04,S002,P0010,77,88,81.42,10,0
2022-01-04,S002,P0011,106,128,94.34,10,0
2022-01-04,S002,P0012,0,140,74.94,10,1
2022-01-04,S002,P0013,47,69,16.91,20,1
2022-01-04,S002,P0014,0,146,124.24,15,1
2022-01-04,S002,P0015,0,95,65.07,5,0
2022-01-04,S002,P0016,117,129,93.55,5,0
2022-01-04,S002,P0017,95,119,17.01,25,1
2022-01-04,S002,P0018,181,214,34.99,10,1
2022-01-04,S002,P0019,0,160,95.83,10,0
2022-01-04,S002,P0020,90,104,143.16,5,0
2022-01-04,S003,P0001,76,95,15.15,10,0
2022-01-04,S003,P0002,122,132,65.96,0,0
2022-01-04,S003,P0003,145,185,110.35,10,1
2022-01-04,S003,P0004,56,55,19.87,5,0
2022-01-04,S003,P0005,106,149,21.41,20,1
2022-01-04,S003,P0006,71,107,40.83,0,0
2022-01-04,S003,P0007,0,170,16.12,20,1
2022-01-04,S003,P0008,174,156,131.49,10,0
2022-01-04,S003,P0009,86,116,43.15,25,1
2022-01-04,S003,P0010,129,138,42.18,5,0
2022-01-04,S003,P0011,114,140,142.09,0,0
2022-01-04,S003,P0012,62,90,87.64,20,1
2022-01-04,S003,P0013,0,166,66.9,25,1
2022-01-04,S003,P0014,128,227,101.6,25,1
2022-01-04,S003,P0015,0,203,132.02,5,0
2022-01-04,S003,P0016,126,112,105.97,5,0
2022-01-04,S003,P0017,63,148,138.36,10,1
2022-01-04,S003,P0018,87,115,123.23,20,1
2022-01-04,S003,P0019,116,99,55.43,0,0
2022-01-04,S003,P0020,0,103,80.2,0,0
2022-01-04,S004,P0001,0,83,10.55,0,0
2022-01-04,S004,P0002,133,164,24.76,0,0
2022-01-04,S004,P0003,173,144,165.54,10,1
2022-01-04,S004,P0004,87,84,46.09,10,0
2022-01-04,S004,P0005,92,150,81.79,10,1
2022-01-04,S004,P0006,118,107,35.73,5,0
2022-01-04,S004,P0007,0,120,25.97,20,1
2022-01-04,S004,P0008,68,75,93.91,5,0
2022-01-04,S004,P0009,201,235,143.79,15,1
2022-01-04,S004,P0010,0,57,23.58,0,0
2022-01-04,S004,P0011,0,104,55.29,10,0
2022-01-04,S004,P0012,80,117,97.47,25,1
2022-01-04,S004,P0013,165,198,21.87,20,1
2022-01-04,S004,P0014,23,28,110.34,25,1
2022-01-04,S004,P0015,68,94,103.84,0,0
2022-01-04,S004,P0016,92,80,114.25,5,0
2022-01-04,S004,P0017,35,54,67.23,20,1
2022-01-04,S004,P0018,123,113,155.02,20,1
2022-01-04,S004,P0019,80,75,53.04,10,0
2022-01-04,S004,P0020,111,150,158.31,5,0
2022-01-04,S005,P0001,58,83,12.03,0,0
2022-01-04,S005,P0002,77,83,39.78,0,0
2022-01-04,S005,P0003,43,59,22.64,15,1
2022-01-04,S005,P0004,82,88,7.04,10,0
2022-01-04,S005,P0005,183,164,18.83,10,1
2022-01-04,S005,P0006,0,80,53.05,10,0
2022-01-04,S005,P0007,140,157,87.87,15,1
2022-01-04,S005,P0008,120,162,72.27,5,0
2022-01-04,S005,P0009,160,146,83.39,25,1
2022-01-04,S005,P0010,102,118,67.01,0,0
2022-01-04,S005,P0011,79,99,85.83,0,0
2022-01-04,S005,P0012,0,41,96.76,15,1
2022-01-04,S005,P0013,189,165,77.38,15,1
2022-01-04,S005,P0014,76,97,150.93,20,1
2022-01-04,S005,P0015,66,92,49.18,0,0
2022-01-04,S005,P0016,105,93,36.59,0,0
2022-01-04,S005,P0017,78,107,29.38,25,1
2022-01-04,S005,P0018,69,112,19.53,15,1
2022-01-04,S005,P0019,37,37,126.83,0,0
2022-01-04,S005,P0020,93,119,33.42,5,0
2022-01-05,S001,P0001,129,110,59.56,25,1
2022-01-05,S001,P0002,77,89,57.54,10,0
2022-01-05,S001,P0003,156,131,61.64,0,0
2022-01-05,S001,P0004,38,62,76.08,25,1
2022-01-05,S001,P0005,91,122,57.21,15,1
2022-01-05,S001,P0006,143,125,35.63,25,1
2022-01-05,S001,P0007,97,147,28.84,0,0
2022-01-05,S001,P0008,57,85,39.03,10,1
2022-01-05,S001,P0009,130,140,92.22,10,1
2022-01-05,S001,P0010,86,82,117.69,15,1
2022-01-05,S001,P0011,62,95,137.69,25,1
2022-01-05,S001,P0012,111,101,65.96,25,1
2022-01-05,S001,P0013,44,74,30.86,0,0
2022-01-05,S001,P0014,86,136,73.34,15,1
2022-01-05,S001,P0015,40,37,11.68,10,0
2022-01-05,S001,P0016,140,200,43.67,20,1
2022-01-05,S001,P0017,36,57,17.91,10,0
2022-01-05,S001,P0018,109,136,57.56,20,1
2022-01-05,S001,P0019,66,55,89.13,15,1
2022-01-05,S001,P0020,0,137,122.84,20,1
2022-01-05,S002,P0001,132,154,80.86,20,1
2022-01-05,S002,P0002,81,74,30.8,5,0
2022-01-05,S002,P0003,93,79,75.8,0,0
2022-01-05,S002,P0004,65,65,31.95,15,1
2022-01-05,S002,P0005,107,157,95.04,15,1
2022-01-05,S002,P0006,74,119,63.82,10,1
2022-01-05,S002,P0007,69,64,22.96,10,0
2022-01-05,S002,P0008,86,145,23.51,25,1
2022-01-05,S002,P0009,243,236,86.08,10,1
2022-01-05,S002,P0010,53,76,73.77,15,1
2022-01-05,S002,P0011,206,201,120.94,10,1
2022-01-05,S002,P0012,60,84,56.28,15,1
2022-01-05,S002,P0013,66,73,19.27,10,0
2022-01-05,S002,P0014,171,155,126.06,20,1
2022-01-05,S002,P0015,76,84,69.42,0,0
2022-01-05,S002,P0016,173,161,80.89,25,1
2022-01-05,S002,P0017,52,78,18.76,10,0
2022-01-05,S002,P0018,120,115,22.23,25,1
2022-01-05,S002,P0019,96,90,68.86,20,1
2022-01-05,S002,P0020,79,89,122.57,10,1
2022-01-05,S003,P0001,141,187,18.5,20,1
2022-01-05,S003,P0002,154,133,65.99,0,0
2022-01-05,S003,P0003,172,224,121.31,10,0
2022-01-05,S003,P0004,162,140,22.18,20,1
2022-01-05,S003,P0005,69,107,19.88,20,1
2022-01-05,S003,P0006,62,96,35.38,10,1
2022-01-05,S003,P0007,67,87,14.15,10,0
2022-01-05,S003,P0008,124,202,123.56,25,1
2022-01-05,S003,P0009,82,221,64.79,15,1
2022-01-05,S003,P0010,114,148,40.8,15,1
2022-01-05,S003,P0011,243,217,130.31,25,1
2022-01-05,S003,P0012,175,151,100.54,20,1
2022-01-05,S003,P0013,72,97,68.96,5,0
2022-01-05,S003,P0014,0,179,96.42,20,1
2022-01-05,S003,P0015,90,86,94.15,0,0
2022-01-05,S003,P0016,152,175,100.22,25,1
2022-01-05,S003,P0017,90,77,128.92,0,0
2022-01-05,S003,P0018,86,97,122.47,20,1
2022-01-05,S003,P0019,106,307,69.98,25,1
2022-01-05,S003,P0020,146,180,71.56,25,1
2022-01-05,S004,P0001,88,111,9.25,20,1
2022-01-05,S004,P0002,87,130,23.6,0,0
2022-01-05,S004,P0003,54,52,121.52,10,0
2022-01-05,S004,P0004,60,95,47.66,15,1
2022-01-05,S004,P0005,157,162,80.18,10,1
2022-01-05,S004,P0006,55,78,28.72,20,1
2022-01-05,S004,P0007,81,93,28.22,5,0
2022-01-05,S004,P0008,74,96,89.39,20,1
2022-01-05,S004,P0009,115,107,96.07,20,1
2022-01-05,S004,P0010,218,222,29.29,20,1
2022-01-05,S004,P0011,146,159,61.57,15,1
2022-01-05,S004,P0012,83,158,111.58,20,1
2022-01-05,S004,P0013,83,117,20.75,5,0
2022-01-05,S004,P0014,46,48,119.71,25,1
2022-01-05,S004,P0015,53,54,89.97,5,0
2022-01-05,S004,P0016,83,97,107.39,20,1
2022-01-05,S004,P0017,114,180,131.36,0,0
2022-01-05,S004,P0018,106,114,147.45,20,1
2022-01-05,S004,P0019,54,83,43.1,25,1
2022-01-05,S004,P0020,99,83,120.97,15,1
2022-01-05,S005,P0001,163,161,13.08,10,1
2022-01-05,S005,P0002,86,86,40.3,0,0
2022-01-05,S005,P0003,71,99,29.04,10,0
2022-01-05,S005,P0004,106,102,7.01,10,1
2022-01-05,S005,P0005,35,53,10.42,25,1
2022-01-05,S005,P0006,121,111,52.86,15,1
2022-01-05,S005,P0007,127,112,77.36,10,0
2022-01-05,S005,P0008,117,118,59.97,15,1
2022-01-05,S005,P0009,74,103,73.22,25,1
2022-01-05,S005,P0010,144,157,53.57,25,1
2022-01-05,S005,P0011,0,114,76.89,10,1
2022-01-05,S005,P0012,66,77,123.61,10,1
2022-01-05,S005,P0013,37,54,66.97,0,0
2022-01-05,S005,P0014,60,77,133.69,20,1
2022-01-05,S005,P0015,105,100,45.39,10,0
2022-01-05,S005,P0016,92,134,33.68,15,1
2022-01-05,S005,P0017,71,76,37.15,0,0
2022-01-05,S005,P0018,34,37,13.19,25,1
2022-01-05,S005,P0019,84,75,124.92,15,1
2022-01-05,S005,P0020,65,108,25.81,20,1
2022-01-06,S001,P0001,98,146,84.03,0,0
2022-01-06,S001,P0002,86,115,55.73,20,1
2022-01-06,S001,P0003,97,138,62.85,5,0
2022-01-06,S001,P0004,41,65,76.7,25,1
2022-01-06,S001,P0005,71,92,55.13,10,0
2022-01-06,S001,P0006,130,138,44.53,10,0
2022-01-06,S001,P0007,110,125,28.44,0,0
2022-01-06,S001,P0008,84,114,47.69,5,0
2022-01-06,S001,P0009,152,170,100.31,10,1
2022-01-06,S001,P0010,37,54,118.84,0,0
2022-01-06,S001,P0011,96,91,135.85,25,1
2022-01-06,S001,P0012,100,85,79.21,5,0
2022-01-06,S001,P0013,142,154,33.78,15,1
2022-01-06,S001,P0014,138,165,88.88,5,0
2022-01-06,S001,P0015,71,106,16.63,0,0
2022-01-06,S001,P0016,71,94,36.35,5,0
2022-01-06,S001,P0017,78,132,24.24,10,0
2022-01-06,S001,P0018,123,112,60.31,10,0
2022-01-06,S001,P0019,72,82,110.01,5,0
2022-01-06,S001,P0020,157,133,129.63,10,0
2022-01-06,S002,P0001,128,113,89.44,0,0
2022-01-06,S002,P0002,69,96,31.48,10,1
2022-01-06,S002,P0003,97,86,70.03,10,0
2022-01-06,S002,P0004,110,97,37.81,10,1
2022-01-06,S002,P0005,55,53,75.35,10,0
2022-01-06,S002,P0006,115,127,68.69,10,0
2022-01-06,S002,P0007,85,88,26.4,10,0
2022-01-06,S002,P0008,77,86,22.32,10,0
2022-01-06,S002,P0009,113,129,54.33,25,1
2022-01-06,S002,P0010,91,118,94.6,5,0
2022-01-06,S002,P0011,152,143,92.11,20,1
2022-01-06,S002,P0012,70,92,68.15,5,0
2022-01-06,S002,P0013,108,154,24.89,10,1
2022-01-06,S002,P0014,33,31,98.21,0,0
2022-01-06,S002,P0015,117,107,74.99,0,0
2022-01-06,S002,P0016,30,37,71.37,0,0
