Date,Store ID,Product ID,Inventory Level,Units Ordered,Competitor Pricing
2022-01-01,S004,P0018,143,27,18.79
2022-01-01,S004,P0019,359,125,73.85
2022-01-01,S004,P0020,211,37,9.26
2022-01-01,S005,P0001,111,60,70.29
2022-01-01,S005,P0002,415,107,60.71
2022-01-01,S005,P0003,384,26,40.93
2022-01-01,S005,P0004,436,174,54.7
2022-01-01,S005,P0005,180,47,96.3
2022-01-01,S005,P0006,185,163,61.15
2022-01-01,S005,P0007,292,140,50.84
2022-01-01,S005,P0008,478,197,30.44
2022-01-01,S005,P0009,182,27,85.45
2022-01-01,S005,P0010,87,141,36.87
2022-01-01,S005,P0011,427,128,53.03
2022-01-01,S005,P0012,245,188,63.53
2022-01-01,S005,P0013,317,95,87.09
2022-01-01,S005,P0014,325,43,42.01
2022-01-01,S005,P0015,411,119,11.27
2022-01-01,S005,P0016,71,32,17.98
2022-01-01,S005,P0017,388,98,102.42
2022-01-01,S005,P0018,161,66,50.03
2022-01-01,S005,P0019,235,124,91.16
2022-01-01,S005,P0020,108,52,9.14
2022-01-02,S001,P0001,116,104,30.89
2022-01-02,S001,P0002,416,79,18.76
2022-01-02,S001,P0003,488,163,72.93
2022-01-02,S001,P0004,248,107,50.46
2022-01-02,S001,P0005,238,40,19.19
2022-01-02,S001,P0006,471,32,46.82
2022-01-02,S001,P0007,178,149,17.0
2022-01-02,S001,P0008,92,121,61.56
2022-01-02,S001,P0009,99,182,95.61
2022-01-02,S001,P0010,171,163,12.71
2022-01-02,S001,P0011,215,173,53.79
2022-01-02,S001,P0012,281,187,60.99
2022-01-02,S001,P0013,455,124,31.06
2022-01-02,S001,P0014,84,20,28.6
2022-01-02,S001,P0015,246,67,30.29
2022-01-02,S001,P0016,399,147,38.02
2022-01-02,S001,P0017,242,105,27.5
2022-01-02,S001,P0018,478,168,69.67
2022-01-02,S001,P0019,156,67,87.43
2022-01-02,S001,P0020,221,168,99.5
2022-01-02,S002,P0001,402,141,63.92
2022-01-02,S002,P0002,132,60,86.73
2022-01-02,S002,P0003,218,31,89.57
2022-01-02,S002,P0004,131,109,69.34
2022-01-02,S002,P0005,93,128,90.59
2022-01-02,S002,P0006,344,154,77.28
2022-01-02,S002,P0007,340,148,13.57
2022-01-02,S002,P0008,241,187,13.94
2022-01-02,S002,P0009,296,157,28.86
2022-01-02,S002,P0010,472,65,32.0
2022-01-02,S002,P0011,308,22,86.3
2022-01-02,S002,P0012,434,30,83.13
2022-01-02,S002,P0013,287,92,97.09
2022-01-02,S002,P0014,190,134,89.47
2022-01-02,S002,P0015,353,191,75.27
2022-01-02,S002,P0016,210,70,67.23
2022-01-02,S002,P0017,193,38,41.4
2022-01-02,S002,P0018,124,46,21.71
2022-01-02,S002,P0019,492,132,80.06
2022-01-02,S002,P0020,222,42,65.4
2022-01-02,S003,P0001,277,40,72.55
2022-01-02,S003,P0002,175,140,91.2
2022-01-02,S003,P0003,157,187,87.38
2022-01-02,S003,P0004,120,154,85.85
2022-01-02,S003,P0005,375,61,36.57
2022-01-02,S003,P0006,302,33,97.69
2022-01-02,S003,P0007,375,40,36.72
2022-01-02,S003,P0008,248,50,37.49
2022-01-02,S003,P0009,219,196,91.53
2022-01-02,S003,P0010,146,155,21.42
2022-01-02,S003,P0011,218,111,58.1
2022-01-02,S003,P0012,260,142,31.78
2022-01-02,S003,P0013,414,53,35.3
2022-01-02,S003,P0014,420,71,70.84
2022-01-02,S003,P0015,435,159,84.99
2022-01-02,S003,P0016,230,173,91.05
2022-01-02,S003,P0017,456,78,25.27
2022-01-02,S003,P0018,319,83,82.59
2022-01-02,S003,P0019,59,135,54.98
2022-01-02,S003,P0020,155,92,53.34
2022-01-02,S004,P0001,144,45,69.74
2022-01-02,S004,P0002,283,156,62.4
2022-01-02,S004,P0003,347,122,49.64
2022-01-02,S004,P0004,410,128,90.1
2022-01-02,S004,P0005,99,76,59.42
2022-01-02,S004,P0006,97,138,16.85
2022-01-02,S004,P0007,339,95,28.55
2022-01-02,S004,P0008,144,119,102.7
2022-01-02,S004,P0009,110,28,8.56
2022-01-02,S004,P0010,348,67,87.81
2022-01-02,S004,P0011,458,144,87.37
2022-01-02,S004,P0012,403,24,38.71
2022-01-02,S004,P0013,198,161,80.79
2022-01-02,S004,P0014,472,166,78.35
2022-01-02,S004,P0015,178,79,97.07
2022-01-02,S004,P0016,215,111,61.32
2022-01-02,S004,P0017,477,150,93.35
2022-01-02,S004,P0018,198,62,89.63
2022-01-02,S004,P0019,110,83,57.55
2022-01-02,S004,P0020,254,112,74.55
2022-01-02,S005,P0001,223,53,65.24
2022-01-02,S005,P0002,100,114,65.16
2022-01-02,S005,P0003,397,35,84.97
2022-01-02,S005,P0004,442,38,64.88
2022-01-02,S005,P0005,411,194,75.17
2022-01-02,S005,P0006,76,175,71.17
2022-01-02,S005,P0007,257,148,71.37
2022-01-02,S005,P0008,353,57,61.05
2022-01-02,S005,P0009,119,76,73.69
2022-01-02,S005,P0010,403,77,47.02
2022-01-02,S005,P0011,60,149,27.78
2022-01-02,S005,P0012,182,121,33.87
2022-01-02,S005,P0013,455,136,55.4
2022-01-02,S005,P0014,437,116,13.12
2022-01-02,S005,P0015,289,83,61.02
2022-01-02,S005,P0016,487,106,39.13
2022-01-02,S005,P0017,418,76,84.29
2022-01-02,S005,P0018,89,113,47.89
2022-01-02,S005,P0019,421,152,75.86
2022-01-02,S005,P0020,211,189,98.89
2022-01-03,S001,P0001,154,189,58.22
2022-01-03,S001,P0002,282,70,52.91
2022-01-03,S001,P0003,183,124,29.38
2022-01-03,S001,P0004,239,51,7.82
2022-01-03,S001,P0005,368,56,91.29
2022-01-03,S001,P0006,57,40,58.01
2022-01-03,S001,P0007,460,70,91.9
2022-01-03,S001,P0008,214,150,51.47
2022-01-03,S001,P0009,407,55,65.86
2022-01-03,S001,P0010,51,155,102.66
2022-01-03,S001,P0011,252,98,62.72
2022-01-03,S001,P0012,72,62,83.11
2022-01-03,S001,P0013,194,120,85.16
2022-01-03,S001,P0014,302,145,30.1
2022-01-03,S001,P0015,330,157,52.43
2022-01-03,S001,P0016,148,160,94.15
2022-01-03,S001,P0017,315,197,100.34
2022-01-03,S001,P0018,97,147,75.48
2022-01-03,S001,P0019,240,171,54.2
2022-01-03,S001,P0020,178,162,37.56
2022-01-03,S002,P0001,405,171,49.4
2022-01-03,S002,P0002,200,47,43.48
2022-01-03,S002,P0003,327,166,99.26
2022-01-03,S002,P0004,409,48,28.61
2022-01-03,S002,P0005,327,194,31.67
2022-01-03,S002,P0006,388,199,27.19
2022-01-03,S002,P0007,483,108,55.83
2022-01-03,S002,P0008,70,137,63.45
2022-01-03,S002,P0009,288,29,60.98
2022-01-03,S002,P0010,270,150,91.76
2022-01-03,S002,P0011,217,66,37.14
2022-01-03,S002,P0012,221,84,51.33
2022-01-03,S002,P0013,303,164,64.52
2022-01-03,S002,P0014,298,143,23.3
2022-01-03,S002,P0015,193,57,49.2
2022-01-03,S002,P0016,205,147,76.17
2022-01-03,S002,P0017,427,195,22.24
2022-01-03,S002,P0018,365,106,25.73
2022-01-03,S002,P0019,111,163,73.5
2022-01-03,S002,P0020,271,178,47.01
2022-01-03,S003,P0001,134,185,86.74
2022-01-03,S003,P0002,405,74,17.32
2022-01-03,S003,P0003,290,118,40.38
2022-01-03,S003,P0004,403,189,88.99
2022-01-03,S003,P0005,311,29,61.06
2022-01-03,S003,P0006,448,112,94.29
2022-01-03,S003,P0007,277,126,97.62
2022-01-03,S003,P0008,421,112,36.9
2022-01-03,S003,P0009,241,135,37.66
2022-01-03,S003,P0010,186,75,96.19
2022-01-03,S003,P0011,413,86,89.06
2022-01-03,S003,P0012,112,46,74.71
2022-01-03,S003,P0013,268,78,47.75
2022-01-03,S003,P0014,347,38,25.0
2022-01-03,S003,P0015,495,86,60.34
2022-01-03,S003,P0016,324,145,60.75
2022-01-03,S003,P0017,330,138,77.55
2022-01-03,S003,P0018,297,66,96.55
2022-01-03,S003,P0019,169,47,47.84
2022-01-03,S003,P0020,257,103,19.59
2022-01-03,S004,P0001,175,140,79.9
2022-01-03,S004,P0002,228,161,77.66
2022-01-03,S004,P0003,188,176,42.55
2022-01-03,S004,P0004,211,20,62.3
2022-01-03,S004,P0005,149,60,27.97
2022-01-03,S004,P0006,383,75,34.82
2022-01-03,S004,P0007,478,153,15.64
2022-01-03,S004,P0008,217,35,65.17
2022-01-03,S004,P0009,73,65,35.26
2022-01-03,S004,P0010,467,183,21.84
2022-01-03,S004,P0011,353,44,31.68
2022-01-03,S004,P0012,471,115,75.61
2022-01-03,S004,P0013,129,92,59.12
2022-01-03,S004,P0014,301,34,58.02
2022-01-03,S004,P0015,423,73,77.0
2022-01-03,S004,P0016,385,130,18.35
2022-01-03,S004,P0017,74,29,39.57
2022-01-03,S004,P0018,467,108,46.83
2022-01-03,S004,P0019,140,47,76.9
2022-01-03,S004,P0020,197,134,97.42
2022-01-03,S005,P0001,159,145,34.96
2022-01-03,S005,P0002,322,111,84.13
2022-01-03,S005,P0003,106,101,49.42
2022-01-03,S005,P0004,475,132,57.14
2022-01-03,S005,P0005,83,57,60.81
2022-01-03,S005,P0006,117,58,44.37
2022-01-03,S005,P0007,368,44,63.81
2022-01-03,S005,P0008,207,154,95.17
2022-01-03,S005,P0009,398,98,55.74
2022-01-03,S005,P0010,476,25,11.25
2022-01-03,S005,P0011,119,151,69.67
2022-01-03,S005,P0012,77,27,46.58
2022-01-03,S005,P0013,191,126,19.33
2022-01-03,S005,P0014,419,189,23.72
2022-01-03,S005,P0015,184,175,85.26
2022-01-03,S005,P0016,361,171,76.56
2022-01-03,S005,P0017,154,116,40.59
2022-01-03,S005,P0018,376,53,35.98
2022-01-03,S005,P0019,268,177,64.67
2022-01-03,S005,P0020,451,193,62.53
2022-01-04,S001,P0001,85,193,75.99
2022-01-04,S001,P0002,91,142,87.44
2022-01-04,S001,P0003,184,191,7.6
2022-01-04,S001,P0004,209,123,45.53
2022-01-04,S001,P0005,470,192,73.5
2022-01-04,S001,P0006,127,84,55.07
2022-01-04,S001,P0007,367,39,28.95
2022-01-04,S001,P0008,404,183,58.46
2022-01-04,S001,P0009,403,187,46.74
2022-01-04,S001,P0010,494,122,98.87
2022-01-04,S001,P0011,421,33,25.48
2022-01-04,S001,P0012,150,129,70.84
2022-01-04,S001,P0013,94,174,33.73
2022-01-04,S001,P0014,77,76,95.38
2022-01-04,S001,P0015,430,118,88.66
2022-01-04,S001,P0016,168,32,93.22
2022-01-04,S001,P0017,353,36,57.08
2022-01-04,S001,P0018,380,66,60.77
2022-01-04,S001,P0019,127,191,61.73
2022-01-04,S001,P0020,153,139,10.76
2022-01-04,S002,P0001,108,25,44.33
2022-01-04,S002,P0002,109,172,51.78
2022-01-04,S002,P0003,493,113,44.02
2022-01-04,S002,P0004,289,21,61.63
2022-01-04,S002,P0005,425,175,23.55
2022-01-04,S002,P0006,118,139,29.22
2022-01-04,S002,P0007,449,118,82.18
2022-01-04,S002,P0008,184,152,56.99
2022-01-04,S002,P0009,239,31,47.77
2022-01-04,S002,P0010,216,172,53.35
2022-01-04,S002,P0011,291,69,11.98
2022-01-04,S002,P0012,74,87,93.92
2022-01-04,S002,P0013,429,180,17.47
2022-01-04,S002,P0014,467,188,79.63
2022-01-04,S002,P0015,121,197,62.56
2022-01-04,S002,P0016,134,107,61.83
2022-01-04,S002,P0017,152,92,67.89
2022-01-04,S002,P0018,236,63,27.89
2022-01-04,S002,P0019,253,36,33.52
2022-01-04,S002,P0020,403,42,17.22
2022-01-04,S003,P0001,335,147,83.63
2022-01-04,S003,P0002,293,130,61.76
2022-01-04,S003,P0003,169,91,30.53
2022-01-04,S003,P0004,294,43,97.69
2022-01-04,S003,P0005,69,161,25.5
2022-01-04,S003,P0006,328,113,17.76
2022-01-04,S003,P0007,173,157,52.32
2022-01-04,S003,P0008,108,129,57.85
2022-01-04,S003,P0009,494,84,12.8
2022-01-04,S003,P0010,366,102,62.96
2022-01-04,S003,P0011,441,52,95.78
2022-01-04,S003,P0012,181,37,75.03
2022-01-04,S003,P0013,330,116,28.03
2022-01-04,S003,P0014,228,158,82.64
2022-01-04,S003,P0015,344,53,19.75
2022-01-04,S003,P0016,336,175,20.65
2022-01-04,S003,P0017,355,26,49.72
2022-01-04,S003,P0018,431,165,40.66
2022-01-04,S003,P0019,172,160,38.42
2022-01-04,S003,P0020,145,122,84.05
2022-01-04,S004,P0001,487,149,21.17
2022-01-04,S004,P0002,216,162,66.42
2022-01-04,S004,P0003,236,104,48.66
2022-01-04,S004,P0004,260,199,81.29
2022-01-04,S004,P0005,435,160,75.67
2022-01-04,S004,P0006,499,175,47.5
2022-01-04,S004,P0007,180,102,52.57
2022-01-04,S004,P0008,128,85,32.41
2022-01-04,S004,P0009,291,35,83.85
2022-01-04,S004,P0010,444,187,24.56
2022-01-04,S004,P0011,281,182,60.74
2022-01-04,S004,P0012,189,155,90.8
2022-01-04,S004,P0013,80,48,23.7
2022-01-04,S004,P0014,314,42,72.22
2022-01-04,S004,P0015,167,42,77.12
2022-01-04,S004,P0016,129,73,27.17
2022-01-04,S004,P0017,425,160,29.56
2022-01-04,S004,P0018,103,34,59.96
2022-01-04,S004,P0019,471,143,29.82
2022-01-04,S004,P0020,364,27,89.19
2022-01-04,S005,P0001,383,175,24.12
2022-01-04,S005,P0002,495,75,39.9
2022-01-04,S005,P0003,439,107,30.66
2022-01-04,S005,P0004,101,94,78.43
2022-01-04,S005,P0005,292,25,43.84
2022-01-04,S005,P0006,466,75,37.49
2022-01-04,S005,P0007,175,130,54.22
2022-01-04,S005,P0008,327,124,64.13
2022-01-04,S005,P0009,194,43,35.63
2022-01-04,S005,P0010,349,189,79.81
2022-01-04,S005,P0011,237,192,35.15
2022-01-04,S005,P0012,220,82,48.04
2022-01-04,S005,P0013,86,153,41.66
2022-01-04,S005,P0014,334,179,87.85
2022-01-04,S005,P0015,186,197,61.9
2022-01-04,S005,P0016,288,180,12.13
2022-01-04,S005,P0017,460,107,33.09
2022-01-04,S005,P0018,482,168,33.51
2022-01-04,S005,P0019,278,24,85.21
2022-01-04,S005,P0020,128,139,78.32
2022-01-05,S001,P0001,238,37,29.4
2022-01-05,S001,P0002,270,165,80.22
2022-01-05,S001,P0003,216,198,78.89
2022-01-05,S001,P0004,172,73,93.55
2022-01-05,S001,P0005,405,76,42.56
2022-01-05,S001,P0006,338,139,57.13
2022-01-05,S001,P0007,409,143,53.31
2022-01-05,S001,P0008,102,23,58.19
2022-01-05,S001,P0009,433,185,93.57
2022-01-05,S001,P0010,288,169,32.17
2022-01-05,S001,P0011,485,191,52.89
2022-01-05,S001,P0012,414,91,98.29
2022-01-05,S001,P0013,370,24,82.46
2022-01-05,S001,P0014,233,171,12.38
2022-01-05,S001,P0015,272,139,59.56
2022-01-05,S001,P0016,189,196,26.17
2022-01-05,S001,P0017,120,156,60.02
2022-01-05,S001,P0018,248,200,97.99
2022-01-05,S001,P0019,492,167,47.76
2022-01-05,S001,P0020,355,26,37.71
2022-01-05,S002,P0001,250,70,60.32
2022-01-05,S002,P0002,182,81,39.61
2022-01-05,S002,P0003,274,91,34.67
2022-01-05,S002,P0004,148,142,78.98
2022-01-05,S002,P0005,241,36,83.23
2022-01-05,S002,P0006,131,176,60.18
2022-01-05,S002,P0007,80,176,80.65
2022-01-05,S002,P0008,483,111,44.9
2022-01-05,S002,P0009,228,183,98.62
2022-01-05,S002,P0010,202,55,83.87
2022-01-05,S002,P0011,440,41,76.99
2022-01-05,S002,P0012,264,29,56.77
2022-01-05,S002,P0013,296,20,25.99
2022-01-05,S002,P0014,201,187,19.73
2022-01-05,S002,P0015,70,28,56.17
2022-01-05,S002,P0016,176,174,79.16
2022-01-05,S002,P0017,399,100,9.46
2022-01-05,S002,P0018,294,63,23.86
2022-01-05,S002,P0019,222,27,66.27
2022-01-05,S002,P0020,123,110,13.22
2022-01-05,S003,P0001,388,55,88.15
2022-01-05,S003,P0002,191,177,87.67
2022-01-05,S003,P0003,370,68,30.21
2022-01-05,S003,P0004,463,77,79.04
2022-01-05,S003,P0005,140,149,54.31
2022-01-05,S003,P0006,314,135,89.3
2022-01-05,S003,P0007,79,69,73.33
2022-01-05,S003,P0008,411,83,21.81
2022-01-05,S003,P0009,117,64,14.32
2022-01-05,S003,P0010,109,73,17.34
2022-01-05,S003,P0011,438,85,25.17
2022-01-05,S003,P0012,480,174,56.53
2022-01-05,S003,P0013,284,168,78.62
2022-01-05,S003,P0014,444,86,37.42
2022-01-05,S003,P0015,278,81,90.41
2022-01-05,S003,P0016,202,195,27.66
2022-01-05,S003,P0017,192,175,25.22
2022-01-05,S003,P0018,168,74,102.22
2022-01-05,S003,P0019,308,35,34.2
2022-01-05,S003,P0020,286,70,63.05
2022-01-05,S004,P0001,201,103,58.98
2022-01-05,S004,P0002,135,49,58.22
2022-01-05,S004,P0003,258,172,70.94
2022-01-05,S004,P0004,357,97,50.35
2022-01-05,S004,P0005,387,199,95.19
2022-01-05,S004,P0006,378,169,79.28
2022-01-05,S004,P0007,249,124,92.28
2022-01-05,S004,P0008,448,184,40.57
2022-01-05,S004,P0009,348,97,87.3
2022-01-05,S004,P0010,412,75,13.92
2022-01-05,S004,P0011,344,30,97.29
2022-01-05,S004,P0012,475,172,29.24
2022-01-05,S004,P0013,400,86,91.76
2022-01-05,S004,P0014,424,37,57.58
2022-01-05,S004,P0015,441,118,21.05
2022-01-05,S004,P0016,421,27,58.01
2022-01-05,S004,P0017,278,56,55.33
2022-01-05,S004,P0018,319,176,20.52
2022-01-05,S004,P0019,353,35,46.95
2022-01-05,S004,P0020,149,42,19.43
2022-01-05,S005,P0001,371,115,40.3
2022-01-05,S005,P0002,98,94,28.27
2022-01-05,S005,P0003,318,171,82.7
2022-01-05,S005,P0004,200,192,54.05
2022-01-05,S005,P0005,299,117,45.5
2022-01-05,S005,P0006,392,125,16.24
2022-01-05,S005,P0007,399,77,53.33
2022-01-05,S005,P0008,192,116,31.34
2022-01-05,S005,P0009,149,23,59.09
2022-01-05,S005,P0010,406,195,42.19
2022-01-05,S005,P0011,91,155,13.1
2022-01-05,S005,P0012,228,147,103.3
2022-01-05,S005,P0013,68,54,35.38
2022-01-05,S005,P0014,358,36,85.97
2022-01-05,S005,P0015,361,75,89.25
2022-01-05,S005,P0016,371,98,57.49
2022-01-05,S005,P0017,231,107,73.86
2022-01-05,S005,P0018,269,109,56.0
2022-01-05,S005,P0019,444,196,60.14
2022-01-05,S005,P0020,243,107,49.72
2022-01-06,S001,P0001,198,155,87.3
2022-01-06,S001,P0002,262,114,45.33
2022-01-06,S001,P0003,91,187,52.0
2022-01-06,S001,P0004,466,123,38.59
2022-01-06,S001,P0005,129,195,33.29
2022-01-06,S001,P0006,57,110,86.18
2022-01-06,S001,P0007,76,49,104.06
2022-01-06,S001,P0008,445,84,38.52
2022-01-06,S001,P0009,277,134,62.02
2022-01-06,S001,P0010,204,143,36.98
2022-01-06,S001,P0011,200,49,61.26
2022-01-06,S001,P0012,59,88,60.48
2022-01-06,S001,P0013,185,189,65.45
2022-01-06,S001,P0014,201,86,43.83
2022-01-06,S001,P0015,388,37,92.67
2022-01-06,S001,P0016,481,164,25.68
2022-01-06,S001,P0017,379,23,21.48
2022-01-06,S001,P0018,423,90,76.9
2022-01-06,S001,P0019,66,126,93.01
2022-01-06,S001,P0020,98,60,78.21
2022-01-06,S002,P0001,131,82,30.51
2022-01-06,S002,P0002,117,47,44.11
2022-01-06,S002,P0003,71,197,62.18
2022-01-06,S002,P0004,72,118,54.87
2022-01-06,S002,P0005,106,64,20.75
2022-01-06,S002,P0006,377,89,46.24
2022-01-06,S002,P0007,469,80,40.56
2022-01-06,S002,P0008,392,123,59.21
2022-01-06,S002,P0009,415,91,43.03
2022-01-06,S002,P0010,350,165,66.25
2022-01-06,S002,P0011,104,155,64.21
2022-01-06,S002,P0012,223,198,40.69
2022-01-06,S002,P0013,467,191,53.84
2022-01-06,S002,P0014,372,26,79.25
2022-01-06,S002,P0015,224,185,26.77
2022-01-06,S002,P0016,270,39,92.99
2022-01-06,S002,P0017,207,43,31.05
2022-01-06,S002,P0018,120,198,93.47
2022-01-06,S002,P0019,300,139,44.37
2022-01-06,S002,P0020,246,47,100.87
2022-01-06,S003,P0001,223,89,93.98
2022-01-06,S003,P0002,110,21,55.66
2022-01-06,S003,P0003,210,82,29.75
2022-01-06,S003,P0004,400,135,58.36
2022-01-06,S003,P0005,457,182,79.82
2022-01-06,S003,P0006,285,56,8.7
2022-01-06,S003,P0007,108,67,10.1
2022-01-06,S003,P0008,463,175,25.32
2022-01-06,S003,P0009,60,89,15.76
2022-01-06,S003,P0010,148,91,52.96
2022-01-06,S003,P0011,266,183,54.94
2022-01-06,S003,P0012,111,32,58.61
2022-01-06,S003,P0013,479,82,83.38
2022-01-06,S003,P0014,268,62,40.97
2022-01-06,S003,P0015,490,53,16.87
2022-01-06,S003,P0016,385,183,42.58
2022-01-06,S003,P0017,409,200,73.35
2022-01-06,S003,P0018,221,61,13.04
2022-01-06,S003,P0019,67,84,53.03
2022-01-06,S003,P0020,283,138,94.76
2022-01-06,S004,P0001,185,69,12.11
2022-01-06,S004,P0002,162,71,15.44
2022-01-06,S004,P0003,405,119,43.03
2022-01-06,S004,P0004,50,180,88.18
2022-01-06,S004,P0005,384,25,77.63
2022-01-06,S004,P0006,488,190,81.47
2022-01-06,S004,P0007,129,164,71.46
2022-01-06,S004,P0008,226,115,15.66
2022-01-06,S004,P0009,207,104,86.94
2022-01-06,S004,P0010,490,142,96.13
2022-01-06,S004,P0011,293,88,45.18
2022-01-06,S004,P0012,483,199,81.15
2022-01-06,S004,P0013,389,81,19.92
2022-01-06,S004,P0014,126,136,77.66
2022-01-06,S004,P0015,304,102,91.53
2022-01-06,S004,P0016,69,190,84.52
2022-01-06,S004,P0017,220,122,29.25
2022-01-06,S004,P0018,427,167,95.64
2022-01-06,S004,P0019,411,145,34.57
2022-01-06,S004,P0020,261,118,31.37
2022-01-06,S005,P0001,333,37,34.3
2022-01-06,S005,P0002,387,23,92.19
2022-01-06,S005,P0003,186,139,62.06
2022-01-06,S005,P0004,313,44,73.68
2022-01-06,S005,P0005,121,87,47.58
2022-01-06,S005,P0006,475,50,58.68
2022-01-06,S005,P0007,87,187,55.85
2022-01-06,S005,P0008,279,79,78.8
2022-01-06,S005,P0009,87,44,43.42
2022-01-06,S005,P0010,94,176,57.29
2022-01-06,S005,P0011,248,20,86.19
2022-01-06,S005,P0012,385,24,55.53
2022-01-06,S005,P0013,395,146,90.39
2022-01-06,S005,P0014,134,165,27.34
2022-01-06,S005,P0015,185,89,38.56
2022-01-06,S005,P0016,223,186,102.66
2022-01-06,S005,P0017,495,161,45.99
2022-01-06,S005,P0018,200,71,39.59
2022-01-06,S005,P0019,244,129,54.25
2022-01-06,S005,P0020,74,82,89.89
2022-01-07,S001,P0001,195,106,58.8
2022-01-07,S001,P0002,255,66,81.11
2022-01-07,S001,P0003,487,157,67.25
2022-01-07,S001,P0004,339,183,11.3
2022-01-07,S001,P0005,120,170,30.55
2022-01-07,S001,P0006,399,36,30.02
2022-01-07,S001,P0007,461,25,46.52
2022-01-07,S001,P0008,193,191,33.1
2022-01-07,S001,P0009,402,126,50.42
2022-01-07,S001,P0010,438,139,53.32
2022-01-07,S001,P0011,275,117,70.41
2022-01-07,S001,P0012,446,109,67.26
2022-01-07,S001,P0013,137,122,33.29
2022-01-07,S001,P0014,189,86,54.34
2022-01-07,S001,P0015,311,165,9.38
2022-01-07,S001,P0016,178,36,79.98
2022-01-07,S001,P0017,299,185,9.33
2022-01-07,S001,P0018,109,188,55.07
2022-01-07,S001,P0019,159,29,61.51
2022-01-07,S001,P0020,402,167,50.87
2022-01-07,S002,P0001,394,68,82.42
2022-01-07,S002,P0002,461,188,78.46
2022-01-07,S002,P0003,85,59,39.39
2022-01-07,S002,P0004,301,124,95.71
2022-01-07,S002,P0005,183,49,41.52
2022-01-07,S002,P0006,429,41,35.74
2022-01-07,S002,P0007,263,178,49.28
2022-01-07,S002,P0008,74,129,94.72
2022-01-07,S002,P0009,332,101,69.27
2022-01-07,S002,P0010,218,156,83.62
2022-01-07,S002,P0011,272,143,32.73
2022-01-07,S002,P0012,365,176,80.54
2022-01-07,S002,P0013,176,124,47.41
