Date,Store ID,Product ID,Units Sold,Price,Discount,Holiday/Promotion,Demand Forecast
2022-01-02,S002,P0013,278,92.57,10,1,279.91
2022-01-02,S002,P0014,27,94.38,5,0,31.53
2022-01-02,S002,P0015,106,70.59,0,1,110.49
2022-01-02,S002,P0016,154,63.13,10,0,166.83
2022-01-02,S002,P0017,176,46.04,5,1,174.49
2022-01-02,S002,P0018,124,21.07,10,0,116.05
2022-01-02,S002,P0019,479,79.11,0,0,469.74
2022-01-02,S002,P0020,78,64.99,0,1,76.55
2022-01-02,S003,P0001,114,73.48,10,0,132.41
2022-01-02,S003,P0002,2,87.5,0,0,-3.4
2022-01-02,S003,P0003,7,88.68,20,1,22.8
2022-01-02,S003,P0004,54,82.36,20,0,49.64
2022-01-02,S003,P0005,282,38.56,5,0,297.42
2022-01-02,S003,P0006,93,97.74,0,0,106.58
2022-01-02,S003,P0007,85,37.68,15,0,85.31
2022-01-02,S003,P0008,136,36.03,5,0,130.52
2022-01-02,S003,P0009,140,88.97,0,1,139.46
2022-01-02,S003,P0010,79,16.48,10,1,94.23
2022-01-02,S003,P0011,106,58.37,10,1,117.65
2022-01-02,S003,P0012,1,27.86,5,1,1.99
2022-01-02,S003,P0013,203,39.14,5,1,206.35
2022-01-02,S003,P0014,368,66.51,0,0,384.47
2022-01-02,S003,P0015,286,89.65,20,0,283.25
2022-01-02,S003,P0016,69,86.7,20,0,70.77
2022-01-02,S003,P0017,52,29.69,20,0,65.67
2022-01-02,S003,P0018,109,86.93,10,1,126.67
2022-01-02,S003,P0019,50,59.33,10,0,44.37
2022-01-02,S003,P0020,0,57.07,10,1,9.42
2022-01-02,S004,P0001,22,74.16,15,0,39.12
2022-01-02,S004,P0002,45,59.38,0,1,46.65
2022-01-02,S004,P0003,89,48.18,0,1,87.77
2022-01-02,S004,P0004,209,94.75,20,0,224.66
2022-01-02,S004,P0005,4,60.89,5,0,14.91
2022-01-02,S004,P0006,47,14.71,5,0,52.02
2022-01-02,S004,P0007,115,33.09,10,0,124.22
2022-01-02,S004,P0008,27,98.75,15,0,21.73
2022-01-02,S004,P0009,90,12.4,20,0,103.6
2022-01-02,S004,P0010,206,92.01,15,1,214.99
2022-01-02,S004,P0011,328,92.12,20,1,339.54
2022-01-02,S004,P0012,155,37.39,20,0,145.99
2022-01-02,S004,P0013,184,85.35,10,1,191.55
2022-01-02,S004,P0014,16,82.64,0,0,28.75
2022-01-02,S004,P0015,90,92.19,10,1,98.56
2022-01-02,S004,P0016,178,61.41,0,0,180.76
2022-01-02,S004,P0017,256,96.47,20,0,254.89
2022-01-02,S004,P0018,27,89.33,0,0,25.51
2022-01-02,S004,P0019,67,59.49,20,1,79.41
2022-01-02,S004,P0020,84,73.05,15,1,77.15
2022-01-02,S005,P0001,67,67.49,5,0,74.8
2022-01-02,S005,P0002,15,66.05,10,1,28.97
2022-01-02,S005,P0003,333,80.88,20,1,336.02
2022-01-02,S005,P0004,56,60.5,10,1,54.08
2022-01-02,S005,P0005,165,71.72,20,0,172.41
2022-01-02,S005,P0006,54,69.21,15,1,49.32
2022-01-02,S005,P0007,93,70.69,20,0,84.69
2022-01-02,S005,P0008,250,63.54,15,0,254.75
2022-01-02,S005,P0009,90,78.08,10,0,99.63
2022-01-02,S005,P0010,83,43.09,10,1,84.32
2022-01-02,S005,P0011,16,25.67,5,1,23.98
2022-01-02,S005,P0012,87,38.59,20,0,83.13
2022-01-02,S005,P0013,241,57.99,5,0,235.03
2022-01-02,S005,P0014,286,14.65,20,1,282.52
2022-01-02,S005,P0015,60,63.26,0,1,52.77
2022-01-02,S005,P0016,437,43.64,15,1,432.86
2022-01-02,S005,P0017,377,84.85,20,1,383.26
2022-01-02,S005,P0018,83,47.05,15,1,78.67
2022-01-02,S005,P0019,203,76.83,20,0,220.23
2022-01-02,S005,P0020,183,93.95,10,1,190.11
2022-01-03,S001,P0001,5,62.7,20,0,5.36
2022-01-03,S001,P0002,199,54.02,0,0,193.26
2022-01-03,S001,P0003,176,26.03,10,0,168.28
2022-01-03,S001,P0004,214,10.19,0,1,228.51
2022-01-03,S001,P0005,165,95.54,0,0,170.76
2022-01-03,S001,P0006,9,57.65,5,0,13.6
2022-01-03,S001,P0007,140,87.85,20,0,143.7
2022-01-03,S001,P0008,177,53.94,5,0,178.0
2022-01-03,S001,P0009,217,61.42,20,0,217.69
2022-01-03,S001,P0010,47,99.14,10,0,38.08
2022-01-03,S001,P0011,3,60.52,0,0,5.18
2022-01-03,S001,P0012,2,86.93,15,0,9.81
2022-01-03,S001,P0013,18,83.11,10,1,20.5
2022-01-03,S001,P0014,242,32.28,10,1,255.54
2022-01-03,S001,P0015,228,52.17,10,1,246.91
2022-01-03,S001,P0016,31,93.61,15,1,35.11
2022-01-03,S001,P0017,16,98.25,5,0,33.51
2022-01-03,S001,P0018,20,78.53,5,0,37.26
2022-01-03,S001,P0019,193,56.91,0,1,203.45
2022-01-03,S001,P0020,118,35.32,20,1,110.02
2022-01-03,S002,P0001,96,48.08,0,1,100.82
2022-01-03,S002,P0002,48,46.95,15,1,55.45
2022-01-03,S002,P0003,130,94.45,20,1,127.03
2022-01-03,S002,P0004,11,27.28,10,1,8.25
2022-01-03,S002,P0005,313,29.74,0,1,326.56
2022-01-03,S002,P0006,352,27.64,5,0,365.82
2022-01-03,S002,P0007,265,60.54,5,0,277.23
2022-01-03,S002,P0008,11,58.55,10,0,23.62
2022-01-03,S002,P0009,191,58.59,0,0,207.27
2022-01-03,S002,P0010,185,95.48,0,1,192.21
2022-01-03,S002,P0011,143,37.81,20,1,154.26
2022-01-03,S002,P0012,85,48.7,10,0,104.48
2022-01-03,S002,P0013,270,65.89,10,0,268.73
2022-01-03,S002,P0014,233,20.37,0,1,245.02
2022-01-03,S002,P0015,187,46.25,0,0,177.8
2022-01-03,S002,P0016,39,71.74,10,0,37.83
2022-01-03,S002,P0017,234,20.57,10,1,231.16
2022-01-03,S002,P0018,213,29.88,20,1,208.31
2022-01-03,S002,P0019,55,73.98,15,1,71.88
2022-01-03,S002,P0020,22,45.02,10,0,15.3
2022-01-03,S003,P0001,100,82.88,10,1,100.66
2022-01-03,S003,P0002,353,17.36,0,1,355.08
2022-01-03,S003,P0003,255,42.7,20,0,246.78
2022-01-03,S003,P0004,154,89.67,15,0,166.81
2022-01-03,S003,P0005,147,65.77,0,1,154.97
2022-01-03,S003,P0006,342,95.74,10,0,357.52
2022-01-03,S003,P0007,54,98.9,0,0,48.62
2022-01-03,S003,P0008,289,41.11,15,0,292.21
2022-01-03,S003,P0009,179,42.07,0,1,198.59
2022-01-03,S003,P0010,175,95.89,0,1,177.8
2022-01-03,S003,P0011,209,84.12,5,0,220.54
2022-01-03,S003,P0012,109,71.21,20,1,113.33
2022-01-03,S003,P0013,43,49.23,0,1,49.77
2022-01-03,S003,P0014,58,21.87,10,1,49.31
2022-01-03,S003,P0015,399,60.83,0,1,390.1
2022-01-03,S003,P0016,95,56.78,20,0,111.3
2022-01-03,S003,P0017,296,76.12,5,0,297.58
2022-01-03,S003,P0018,105,98.9,10,0,104.66
2022-01-03,S003,P0019,103,46.24,5,0,107.67
2022-01-03,S003,P0020,131,16.35,15,0,123.65
2022-01-03,S004,P0001,66,83.63,15,0,56.84
2022-01-03,S004,P0002,163,81.57,0,1,161.48
2022-01-03,S004,P0003,98,44.68,10,0,98.87
2022-01-03,S004,P0004,150,60.11,0,1,167.75
2022-01-03,S004,P0005,15,24.63,20,0,21.91
2022-01-03,S004,P0006,36,36.31,5,1,26.89
2022-01-03,S004,P0007,303,11.36,15,1,307.7
2022-01-03,S004,P0008,209,63.1,10,1,215.04
2022-01-03,S004,P0009,69,30.82,20,0,68.51
2022-01-03,S004,P0010,143,23.73,0,0,139.44
2022-01-03,S004,P0011,239,29.49,5,0,255.26
2022-01-03,S004,P0012,192,74.42,15,1,188.72
2022-01-03,S004,P0013,23,58.3,20,1,38.86
2022-01-03,S004,P0014,165,60.58,0,1,160.46
2022-01-03,S004,P0015,85,73.48,0,0,95.5
2022-01-03,S004,P0016,79,16.18,10,0,86.62
2022-01-03,S004,P0017,33,38.52,15,0,43.64
2022-01-03,S004,P0018,270,46.93,0,0,270.37
2022-01-03,S004,P0019,1,80.41,0,0,-3.91
2022-01-03,S004,P0020,149,95.33,20,0,161.2
2022-01-03,S005,P0001,3,36.3,0,0,18.12
2022-01-03,S005,P0002,59,82.08,10,1,78.35
2022-01-03,S005,P0003,15,46.4,20,0,25.13
2022-01-03,S005,P0004,351,59.76,5,0,358.12
2022-01-03,S005,P0005,66,60.35,20,1,63.37
2022-01-03,S005,P0006,62,40.61,10,1,59.04
2022-01-03,S005,P0007,77,63.61,5,1,95.69
2022-01-03,S005,P0008,177,97.09,5,1,173.93
2022-01-03,S005,P0009,349,52.72,10,0,350.47
2022-01-03,S005,P0010,74,14.41,20,1,91.48
2022-01-03,S005,P0011,40,74.14,0,1,43.92
2022-01-03,S005,P0012,72,46.94,20,1,68.01
2022-01-03,S005,P0013,190,23.04,5,0,205.54
2022-01-03,S005,P0014,263,28.02,5,1,263.83
2022-01-03,S005,P0015,126,86.82,20,0,143.76
2022-01-03,S005,P0016,17,80.31,5,1,25.61
2022-01-03,S005,P0017,19,41.28,10,0,37.45
2022-01-03,S005,P0018,36,38.42,0,1,43.47
2022-01-03,S005,P0019,207,59.93,20,0,198.44
2022-01-03,S005,P0020,91,66.76,5,0,99.88
2022-01-04,S001,P0001,58,77.88,15,1,52.87
2022-01-04,S001,P0002,91,88.22,15,1,82.65
2022-01-04,S001,P0003,70,10.55,15,0,82.51
2022-01-04,S001,P0004,0,44.81,5,1,15.37
2022-01-04,S001,P0005,32,69.65,10,0,45.57
2022-01-04,S001,P0006,8,53.35,20,0,0.54
2022-01-04,S001,P0007,341,33.47,5,0,336.71
2022-01-04,S001,P0008,347,61.1,20,0,350.96
2022-01-04,S001,P0009,15,45.25,10,0,26.72
2022-01-04,S001,P0010,85,94.98,20,0,92.86
2022-01-04,S001,P0011,30,24.21,0,0,49.2
2022-01-04,S001,P0012,136,66.07,5,0,140.64
2022-01-04,S001,P0013,31,34.68,10,0,46.7
2022-01-04,S001,P0014,7,98.28,15,1,22.66
2022-01-04,S001,P0015,377,87.24,10,1,371.89
2022-01-04,S001,P0016,28,93.4,10,0,33.2
2022-01-04,S001,P0017,348,53.02,0,1,349.59
2022-01-04,S001,P0018,258,58.54,5,1,258.58
2022-01-04,S001,P0019,41,63.29,15,1,50.38
2022-01-04,S001,P0020,49,10.93,0,1,44.55
2022-01-04,S002,P0001,83,45.49,5,1,85.5
2022-01-04,S002,P0002,60,52.33,10,1,71.47
2022-01-04,S002,P0003,448,41.55,15,0,459.44
2022-01-04,S002,P0004,11,58.13,0,1,26.96
2022-01-04,S002,P0005,390,25.67,10,0,407.4
2022-01-04,S002,P0006,81,33.96,0,0,88.67
2022-01-04,S002,P0007,121,81.35,20,0,132.54
2022-01-04,S002,P0008,44,57.34,20,0,52.26
2022-01-04,S002,P0009,88,50.36,15,0,104.13
2022-01-04,S002,P0010,142,51.34,15,1,138.75
2022-01-04,S002,P0011,48,13.09,20,1,48.65
2022-01-04,S002,P0012,61,94.85,0,0,67.72
2022-01-04,S002,P0013,140,16.47,5,0,151.22
2022-01-04,S002,P0014,390,82.15,15,1,408.18
2022-01-04,S002,P0015,91,61.13,5,0,93.99
2022-01-04,S002,P0016,32,63.74,10,0,32.03
2022-01-04,S002,P0017,60,66.78,10,1,54.96
2022-01-04,S002,P0018,206,30.12,15,1,220.44
2022-01-04,S002,P0019,108,31.26,10,1,107.84
2022-01-04,S002,P0020,349,21.47,0,0,340.49
2022-01-04,S003,P0001,271,81.01,20,0,276.13
2022-01-04,S003,P0002,202,59.97,5,1,215.12
2022-01-04,S003,P0003,34,26.87,10,0,24.17
2022-01-04,S003,P0004,165,99.12,10,0,164.1
2022-01-04,S003,P0005,2,24.29,5,0,21.27
2022-01-04,S003,P0006,308,18.48,0,1,323.67
2022-01-04,S003,P0007,76,54.73,10,1,75.54
2022-01-04,S003,P0008,91,59.61,5,1,95.55
2022-01-04,S003,P0009,113,14.64,20,1,121.8
2022-01-04,S003,P0010,274,63.63,15,1,268.6
2022-01-04,S003,P0011,116,95.99,10,0,128.01
2022-01-04,S003,P0012,5,75.41,5,1,18.13
2022-01-04,S003,P0013,115,24.19,15,1,111.27
2022-01-04,S003,P0014,79,85.33,0,1,75.88
2022-01-04,S003,P0015,223,15.58,15,0,235.42
2022-01-04,S003,P0016,258,19.63,10,1,260.26
2022-01-04,S003,P0017,236,53.81,0,0,248.1
2022-01-04,S003,P0018,309,37.49,20,0,323.61
2022-01-04,S003,P0019,32,38.2,0,0,26.96
2022-01-04,S003,P0020,44,84.13,15,1,43.44
2022-01-04,S004,P0001,145,20.39,15,0,154.43
2022-01-04,S004,P0002,150,70.46,20,1,141.65
2022-01-04,S004,P0003,40,53.13,5,1,36.09
2022-01-04,S004,P0004,245,82.0,10,1,256.94
2022-01-04,S004,P0005,241,75.55,15,0,255.72
2022-01-04,S004,P0006,138,50.26,0,1,128.04
2022-01-04,S004,P0007,152,56.58,5,1,157.24
2022-01-04,S004,P0008,12,37.17,10,1,16.36
2022-01-04,S004,P0009,158,82.75,20,1,158.23
2022-01-04,S004,P0010,265,23.53,10,1,264.83
2022-01-04,S004,P0011,240,56.3,5,0,243.7
2022-01-04,S004,P0012,153,94.09,5,0,145.17
2022-01-04,S004,P0013,68,24.53,20,1,81.02
2022-01-04,S004,P0014,302,70.33,20,0,300.24
2022-01-04,S004,P0015,70,79.68,5,1,69.66
2022-01-04,S004,P0016,92,25.69,0,0,89.92
2022-01-04,S004,P0017,275,25.04,5,1,266.14
2022-01-04,S004,P0018,3,56.02,15,0,20.62
2022-01-04,S004,P0019,307,31.39,5,1,319.56
2022-01-04,S004,P0020,62,86.86,15,0,68.97
2022-01-04,S005,P0001,195,21.71,20,0,214.04
2022-01-04,S005,P0002,33,40.56,5,1,36.13
2022-01-04,S005,P0003,263,29.2,5,0,266.77
2022-01-04,S005,P0004,83,82.18,20,1,97.81
2022-01-04,S005,P0005,78,45.85,15,1,85.65
2022-01-04,S005,P0006,118,42.08,10,0,133.87
2022-01-04,S005,P0007,147,51.22,10,1,141.44
2022-01-04,S005,P0008,216,62.03,20,0,233.51
2022-01-04,S005,P0009,27,36.53,15,1,26.91
2022-01-04,S005,P0010,172,84.66,5,1,171.35
2022-01-04,S005,P0011,78,39.15,0,1,77.14
2022-01-04,S005,P0012,196,45.65,15,1,187.61
2022-01-04,S005,P0013,75,40.27,15,1,72.27
2022-01-04,S005,P0014,11,82.99,15,1,8.45
2022-01-04,S005,P0015,144,60.15,20,1,150.43
2022-01-04,S005,P0016,200,15.19,10,0,216.05
2022-01-04,S005,P0017,256,37.46,20,1,252.35
2022-01-04,S005,P0018,118,34.44,10,0,137.7
2022-01-04,S005,P0019,244,84.99,20,0,259.18
2022-01-04,S005,P0020,54,81.63,10,0,62.09
2022-01-05,S001,P0001,147,28.46,20,1,150.27
2022-01-05,S001,P0002,220,79.54,10,0,237.0
2022-01-05,S001,P0003,97,80.57,5,1,101.54
2022-01-05,S001,P0004,29,93.53,20,1,40.03
2022-01-05,S001,P0005,192,46.13,0,0,193.38
2022-01-05,S001,P0006,158,60.2,0,1,168.84
2022-01-05,S001,P0007,8,53.65,5,0,17.44
2022-01-05,S001,P0008,42,59.2,5,0,35.11
2022-01-05,S001,P0009,5,98.03,5,0,6.6
2022-01-05,S001,P0010,93,32.6,20,0,85.66
2022-01-05,S001,P0011,44,53.31,5,1,54.08
2022-01-05,S001,P0012,78,93.96,20,0,76.67
2022-01-05,S001,P0013,57,83.3,0,0,55.73
2022-01-05,S001,P0014,161,12.66,15,1,155.79
2022-01-05,S001,P0015,172,55.77,20,1,183.33
2022-01-05,S001,P0016,132,30.15,15,0,143.24
2022-01-05,S001,P0017,46,63.75,5,0,53.06
2022-01-05,S001,P0018,17,97.51,10,0,17.8
2022-01-05,S001,P0019,38,49.8,5,1,47.82
2022-01-05,S001,P0020,11,33.3,10,0,4.5
2022-01-05,S002,P0001,161,56.24,15,1,171.45
2022-01-05,S002,P0002,101,43.43,20,1,92.92
2022-01-05,S002,P0003,263,30.78,10,0,257.46
2022-01-05,S002,P0004,32,82.85,5,0,25.88
2022-01-05,S002,P0005,209,87.11,0,1,212.58
2022-01-05,S002,P0006,24,56.68,5,0,22.17
2022-01-05,S002,P0007,20,80.01,5,1,34.05
2022-01-05,S002,P0008,148,41.24,0,1,145.1
2022-01-05,S002,P0009,100,96.96,5,1,109.92
2022-01-05,S002,P0010,129,87.69,20,0,119.12
2022-01-05,S002,P0011,257,74.45,5,1,266.89
2022-01-05,S002,P0012,262,53.28,5,0,269.59
2022-01-05,S002,P0013,200,25.38,15,1,214.64
2022-01-05,S002,P0014,56,23.84,10,1,69.26
2022-01-05,S002,P0015,24,52.21,20,0,17.01
2022-01-05,S002,P0016,105,79.34,20,0,106.4
2022-01-05,S002,P0017,294,13.13,15,0,302.77
2022-01-05,S002,P0018,142,23.28,15,1,154.25
2022-01-05,S002,P0019,55,67.3,10,1,68.88
2022-01-05,S002,P0020,24,17.35,20,1,27.69
2022-01-05,S003,P0001,53,93.06,0,1,47.35
2022-01-05,S003,P0002,189,84.04,20,0,187.88
2022-01-05,S003,P0003,146,25.75,0,1,155.15
2022-01-05,S003,P0004,186,76.32,20,0,188.51
2022-01-05,S003,P0005,77,49.52,20,1,90.49
2022-01-05,S003,P0006,225,93.81,0,0,220.06
2022-01-05,S003,P0007,66,76.7,10,1,74.14
2022-01-05,S003,P0008,35,24.28,15,1,35.46
2022-01-05,S003,P0009,1,13.87,15,1,7.16
2022-01-05,S003,P0010,95,14.93,10,0,90.43
2022-01-05,S003,P0011,255,22.22,10,1,269.91
2022-01-05,S003,P0012,132,57.69,5,0,122.08
2022-01-05,S003,P0013,234,80.36,15,1,232.6
2022-01-05,S003,P0014,42,40.6,10,1,44.15
2022-01-05,S003,P0015,25,86.8,0,0,28.28
2022-01-05,S003,P0016,30,30.33,15,1,29.93
2022-01-05,S003,P0017,28,29.03,0,0,18.54
2022-01-05,S003,P0018,38,97.97,15,0,41.71
2022-01-05,S003,P0019,149,31.18,0,1,167.46
2022-01-05,S003,P0020,192,65.34,10,0,205.67
2022-01-05,S004,P0001,198,57.58,10,0,212.56
2022-01-05,S004,P0002,83,54.02,20,0,88.88
2022-01-05,S004,P0003,97,69.96,10,1,102.13
2022-01-05,S004,P0004,173,51.07,5,1,190.9
2022-01-05,S004,P0005,69,99.12,20,1,87.46
2022-01-05,S004,P0006,256,77.59,15,0,271.82
2022-01-05,S004,P0007,246,87.6,10,0,246.58
2022-01-05,S004,P0008,332,43.67,15,1,343.03
2022-01-05,S004,P0009,325,89.52,0,0,321.15
2022-01-05,S004,P0010,53,12.89,0,1,72.67
2022-01-05,S004,P0011,17,92.7,5,0,26.69
2022-01-05,S004,P0012,223,31.47,20,0,241.25
2022-01-05,S004,P0013,95,89.52,0,0,113.09
2022-01-05,S004,P0014,225,54.44,20,0,220.89
2022-01-05,S004,P0015,216,21.75,15,0,207.56
2022-01-05,S004,P0016,324,60.8,0,1,318.43
2022-01-05,S004,P0017,75,60.17,5,0,90.62
2022-01-05,S004,P0018,158,19.17,15,1,170.15
2022-01-05,S004,P0019,55,45.92,20,0,56.6
2022-01-05,S004,P0020,131,23.85,5,0,147.54
2022-01-05,S005,P0001,74,40.47,20,0,93.27
2022-01-05,S005,P0002,59,26.25,15,1,62.06
2022-01-05,S005,P0003,150,82.08,5,0,145.3
2022-01-05,S005,P0004,135,50.59,15,0,145.91
2022-01-05,S005,P0005,79,49.08,5,0,97.08
2022-01-05,S005,P0006,62,12.38,0,1,68.41
2022-01-05,S005,P0007,130,49.02,20,0,123.53
2022-01-05,S005,P0008,74,27.8,10,1,66.44
2022-01-05,S005,P0009,16,59.13,10,0,34.95
2022-01-05,S005,P0010,342,43.1,5,1,353.01
2022-01-05,S005,P0011,48,13.33,5,0,51.37
2022-01-05,S005,P0012,224,98.66,10,0,218.16
2022-01-05,S005,P0013,64,39.8,15,1,71.81
2022-01-05,S005,P0014,322,86.26,10,0,316.68
2022-01-05,S005,P0015,264,85.81,10,1,258.32
2022-01-05,S005,P0016,343,58.21,20,0,350.28
