Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,WeekOfYear,IsWeekend,Seasonality,Epidemic
2022-05-30,2022,2,5,May,30,1,Monday,22,False,Spring,0
2022-05-31,2022,2,5,May,31,2,Tuesday,22,False,Spring,0
2022-06-01,2022,2,6,June,1,3,Wednesday,22,False,Summer,0
2022-06-02,2022,2,6,June,2,4,Thursday,22,False,Summer,0
2022-06-03,2022,2,6,June,3,5,Friday,22,False,Summer,0
2022-06-04,2022,2,6,June,4,6,Saturday,22,True,Summer,0
2022-06-05,2022,2,6,June,5,7,Sunday,22,True,Summer,0
2022-06-06,2022,2,6,June,6,1,Monday,23,False,Summer,0
2022-06-07,2022,2,6,June,7,2,Tuesday,23,False,Summer,0
2022-06-08,2022,2,6,June,8,3,Wednesday,23,False,Summer,0
2022-06-09,2022,2,6,June,9,4,Thursday,23,False,Summer,0
2022-06-10,2022,2,6,June,10,5,Friday,23,False,Summer,0
2022-06-11,2022,2,6,June,11,6,Saturday,23,True,Summer,0
2022-06-12,2022,2,6,June,12,7,Sunday,23,True,Summer,0
2022-06-13,2022,2,6,June,13,1,Monday,24,False,Summer,0
2022-06-14,2022,2,6,June,14,2,Tuesday,24,False,Summer,0
2022-06-15,2022,2,6,June,15,3,Wednesday,24,False,Summer,0
2022-06-16,2022,2,6,June,16,4,Thursday,24,False,Summer,0
2022-06-17,2022,2,6,June,17,5,Friday,24,False,Summer,0
2022-06-18,2022,2,6,June,18,6,Saturday,24,True,Summer,0
2022-06-19,2022,2,6,June,19,7,Sunday,24,True,Summer,0
2022-06-20,2022,2,6,June,20,1,Monday,25,False,Summer,0
2022-06-21,2022,2,6,June,21,2,Tuesday,25,False,Summer,0
2022-06-22,2022,2,6,June,22,3,Wednesday,25,False,Summer,0
2022-06-23,2022,2,6,June,23,4,Thursday,25,False,Summer,0
2022-06-24,2022,2,6,June,24,5,Friday,25,False,Summer,0
2022-06-25,2022,2,6,June,25,6,Saturday,25,True,Summer,0
2022-06-26,2022,2,6,June,26,7,Sunday,25,True,Summer,0
2022-06-27,2022,2,6,June,27,1,Monday,26,False,Summer,0
2022-06-28,2022,2,6,June,28,2,Tuesday,26,False,Summer,0
2022-06-29,2022,2,6,June,29,3,Wednesday,26,False,Summer,1
2022-06-30,2022,2,6,June,30,4,Thursday,26,False,Summer,1
2022-07-01,2022,3,7,July,1,5,Friday,26,False,Summer,1
2022-07-02,2022,3,7,July,2,6,Saturday,26,True,Summer,1
2022-07-03,2022,3,7,July,3,7,Sunday,26,True,Summer,1
2022-07-04,2022,3,7,July,4,1,Monday,27,False,Summer,1
2022-07-05,2022,3,7,July,5,2,Tuesday,27,False,Summer,1
2022-07-06,2022,3,7,July,6,3,Wednesday,27,False,Summer,1
2022-07-07,2022,3,7,July,7,4,Thursday,27,False,Summer,1
2022-07-08,2022,3,7,July,8,5,Friday,27,False,Summer,1
2022-07-09,2022,3,7,July,9,6,Saturday,27,True,Summer,1
2022-07-10,2022,3,7,July,10,7,Sunday,27,True,Summer,1
2022-07-11,2022,3,7,July,11,1,Monday,28,False,Summer,1
2022-07-12,2022,3,7,July,12,2,Tuesday,28,False,Summer,1
2022-07-13,2022,3,7,July,13,3,Wednesday,28,False,Summer,1
2022-07-14,2022,3,7,July,14,4,Thursday,28,False,Summer,1
2022-07-15,2022,3,7,July,15,5,Friday,28,False,Summer,1
2022-07-16,2022,3,7,July,16,6,Saturday,28,True,Summer,1
2022-07-17,2022,3,7,July,17,7,Sunday,28,True,Summer,1
2022-07-18,2022,3,7,July,18,1,Monday,29,False,Summer,1
2022-07-19,2022,3,7,July,19,2,Tuesday,29,False,Summer,1
2022-07-20,2022,3,7,July,20,3,Wednesday,29,False,Summer,1
2022-07-21,2022,3,7,July,21,4,Thursday,29,False,Summer,1
2022-07-22,2022,3,7,July,22,5,Friday,29,False,Summer,1
2022-07-23,2022,3,7,July,23,6,Saturday,29,True,Summer,1
2022-07-24,2022,3,7,July,24,7,Sunday,29,True,Summer,1
2022-07-25,2022,3,7,July,25,1,Monday,30,False,Summer,0
2022-07-26,2022,3,7,July,26,2,Tuesday,30,False,Summer,0
2022-07-27,2022,3,7,July,27,3,Wednesday,30,False,Summer,0
2022-07-28,2022,3,7,July,28,4,Thursday,30,False,Summer,0
2022-07-29,2022,3,7,July,29,5,Friday,30,False,Summer,0
2022-07-30,2022,3,7,July,30,6,Saturday,30,True,Summer,0
2022-07-31,2022,3,7,July,31,7,Sunday,30,True,Summer,0
2022-08-01,2022,3,8,August,1,1,Monday,31,False,Summer,0
2022-08-02,2022,3,8,August,2,2,Tuesday,31,False,Summer,0
2022-08-03,2022,3,8,August,3,3,Wednesday,31,False,Summer,0
2022-08-04,2022,3,8,August,4,4,Thursday,31,False,Summer,0
2022-08-05,2022,3,8,August,5,5,Friday,31,False,Summer,0
2022-08-06,2022,3,8,August,6,6,Saturday,31,True,Summer,0
2022-08-07,2022,3,8,August,7,7,Sunday,31,True,Summer,0
2022-08-08,2022,3,8,August,8,1,Monday,32,False,Summer,0
2022-08-09,2022,3,8,August,9,2,Tuesday,32,False,Summer,0
2022-08-10,2022,3,8,August,10,3,Wednesday,32,False,Summer,0
2022-08-11,2022,3,8,August,11,4,Thursday,32,False,Summer,0
2022-08-12,2022,3,8,August,12,5,Friday,32,False,Summer,0
2022-08-13,2022,3,8,August,13,6,Saturday,32,True,Summer,0
2022-08-14,2022,3,8,August,14,7,Sunday,32,True,Summer,0
2022-08-15,2022,3,8,August,15,1,Monday,33,False,Summer,0
2022-08-16,2022,3,8,August,16,2,Tuesday,33,False,Summer,0
2022-08-17,2022,3,8,August,17,3,Wednesday,33,False,Summer,0
2022-08-18,2022,3,8,August,18,4,Thursday,33,False,Summer,0
2022-08-19,2022,3,8,August,19,5,Friday,33,False,Summer,0
2022-08-20,2022,3,8,August,20,6,Saturday,33,True,Summer,0
2022-08-21,2022,3,8,August,21,7,Sunday,33,True,Summer,0
2022-08-22,2022,3,8,August,22,1,Monday,34,False,Summer,0
2022-08-23,2022,3,8,August,23,2,Tuesday,34,False,Summer,0
2022-08-24,2022,3,8,August,24,3,Wednesday,34,False,Summer,0
2022-08-25,2022,3,8,August,25,4,Thursday,34,False,Summer,0
2022-08-26,2022,3,8,August,26,5,Friday,34,False,Summer,0
2022-08-27,2022,3,8,August,27,6,Saturday,34,True,Summer,0
2022-08-28,2022,3,8,August,28,7,Sunday,34,True,Summer,0
2022-08-29,2022,3,8,August,29,1,Monday,35,False,Summer,0
2022-08-30,2022,3,8,August,30,2,Tuesday,35,False,Summer,0
2022-08-31,2022,3,8,August,31,3,Wednesday,35,False,Summer,0
2022-09-01,2022,3,9,September,1,4,Thursday,35,False,Autumn,0
2022-09-02,2022,3,9,September,2,5,Friday,35,False,Autumn,0
2022-09-03,2022,3,9,September,3,6,Saturday,35,True,Autumn,0
2022-09-04,2022,3,9,September,4,7,Sunday,35,True,Autumn,0
2022-09-05,2022,3,9,September,5,1,Monday,36,False,Autumn,0
2022-09-06,2022,3,9,September,6,2,Tuesday,36,False,Autumn,0
2022-09-07,2022,3,9,September,7,3,Wednesday,36,False,Autumn,0
2022-09-08,2022,3,9,September,8,4,Thursday,36,False,Autumn,0
2022-09-09,2022,3,9,September,9,5,Friday,36,False,Autumn,0
2022-09-10,2022,3,9,September,10,6,Saturday,36,True,Autumn,0
2022-09-11,2022,3,9,September,11,7,Sunday,36,True,Autumn,0
2022-09-12,2022,3,9,September,12,1,Monday,37,False,Autumn,0
2022-09-13,2022,3,9,September,13,2,Tuesday,37,False,Autumn,0
2022-09-14,2022,3,9,September,14,3,Wednesday,37,False,Autumn,0
2022-09-15,2022,3,9,September,15,4,Thursday,37,False,Autumn,0
2022-09-16,2022,3,9,September,16,5,Friday,37,False,Autumn,0
2022-09-17,2022,3,9,September,17,6,Saturday,37,True,Autumn,0
2022-09-18,2022,3,9,September,18,7,Sunday,37,True,Autumn,0
2022-09-19,2022,3,9,September,19,1,Monday,38,False,Autumn,0
2022-09-20,2022,3,9,September,20,2,Tuesday,38,False,Autumn,0
2022-09-21,2022,3,9,September,21,3,Wednesday,38,False,Autumn,0
2022-09-22,2022,3,9,September,22,4,Thursday,38,False,Autumn,0
2022-09-23,2022,3,9,September,23,5,Friday,38,False,Autumn,0
2022-09-24,2022,3,9,September,24,6,Saturday,38,True,Autumn,0
2022-09-25,2022,3,9,September,25,7,Sunday,38,True,Autumn,0
2022-09-26,2022,3,9,September,26,1,Monday,39,False,Autumn,0
2022-09-27,2022,3,9,September,27,2,Tuesday,39,False,Autumn,0
2022-09-28,2022,3,9,September,28,3,Wednesday,39,False,Autumn,0
2022-09-29,2022,3,9,September,29,4,Thursday,39,False,Autumn,0
2022-09-30,2022,3,9,September,30,5,Friday,39,False,Autumn,0
2022-10-01,2022,4,10,October,1,6,Saturday,39,True,Autumn,0
2022-10-02,2022,4,10,October,2,7,Sunday,39,True,Autumn,0
2022-10-03,2022,4,10,October,3,1,Monday,40,False,Autumn,0
2022-10-04,2022,4,10,October,4,2,Tuesday,40,False,Autumn,0
2022-10-05,2022,4,10,October,5,3,Wednesday,40,False,Autumn,0
2022-10-06,2022,4,10,October,6,4,Thursday,40,False,Autumn,0
2022-10-07,2022,4,10,October,7,5,Friday,40,False,Autumn,0
2022-10-08,2022,4,10,October,8,6,Saturday,40,True,Autumn,0
2022-10-09,2022,4,10,October,9,7,Sunday,40,True,Autumn,0
2022-10-10,2022,4,10,October,10,1,Monday,41,False,Autumn,0
2022-10-11,2022,4,10,October,11,2,Tuesday,41,False,Autumn,0
2022-10-12,2022,4,10,October,12,3,Wednesday,41,False,Autumn,0
2022-10-13,2022,4,10,October,13,4,Thursday,41,False,Autumn,0
2022-10-14,2022,4,10,October,14,5,Friday,41,False,Autumn,0
2022-10-15,2022,4,10,October,15,6,Saturday,41,True,Autumn,0
2022-10-16,2022,4,10,October,16,7,Sunday,41,True,Autumn,0
2022-10-17,2022,4,10,October,17,1,Monday,42,False,Autumn,0
2022-10-18,2022,4,10,October,18,2,Tuesday,42,False,Autumn,0
2022-10-19,2022,4,10,October,19,3,Wednesday,42,False,Autumn,0
2022-10-20,2022,4,10,October,20,4,Thursday,42,False,Autumn,0
2022-10-21,2022,4,10,October,21,5,Friday,42,False,Autumn,0
2022-10-22,2022,4,10,October,22,6,Saturday,42,True,Autumn,0
2022-10-23,2022,4,10,October,23,7,Sunday,42,True,Autumn,0
2022-10-24,2022,4,10,October,24,1,Monday,43,False,Autumn,0
2022-10-25,2022,4,10,October,25,2,Tuesday,43,False,Autumn,0
2022-10-26,2022,4,10,October,26,3,Wednesday,43,False,Autumn,0
2022-10-27,2022,4,10,October,27,4,Thursday,43,False,Autumn,0
2022-10-28,2022,4,10,October,28,5,Friday,43,False,Autumn,0
2022-10-29,2022,4,10,October,29,6,Saturday,43,True,Autumn,0
2022-10-30,2022,4,10,October,30,7,Sunday,43,True,Autumn,0
2022-10-31,2022,4,10,October,31,1,Monday,44,False,Autumn,0
2022-11-01,2022,4,11,November,1,2,Tuesday,44,False,Autumn,0
2022-11-02,2022,4,11,November,2,3,Wednesday,44,False,Autumn,0
2022-11-03,2022,4,11,November,3,4,Thursday,44,False,Autumn,0
2022-11-04,2022,4,11,November,4,5,Friday,44,False,Autumn,0
2022-11-05,2022,4,11,November,5,6,Saturday,44,True,Autumn,0
2022-11-06,2022,4,11,November,6,7,Sunday,44,True,Autumn,0
2022-11-07,2022,4,11,November,7,1,Monday,45,False,Autumn,0
2022-11-08,2022,4,11,November,8,2,Tuesday,45,False,Autumn,0
2022-11-09,2022,4,11,November,9,3,Wednesday,45,False,Autumn,0
2022-11-10,2022,4,11,November,10,4,Thursday,45,False,Autumn,0
2022-11-11,2022,4,11,November,11,5,Friday,45,False,Autumn,0
2022-11-12,2022,4,11,November,12,6,Saturday,45,True,Autumn,0
2022-11-13,2022,4,11,November,13,7,Sunday,45,True,Autumn,0
2022-11-14,2022,4,11,November,14,1,Monday,46,False,Autumn,0
2022-11-15,2022,4,11,November,15,2,Tuesday,46,False,Autumn,0
2022-11-16,2022,4,11,November,16,3,Wednesday,46,False,Autumn,0
2022-11-17,2022,4,11,November,17,4,Thursday,46,False,Autumn,0
2022-11-18,2022,4,11,November,18,5,Friday,46,False,Autumn,0
2022-11-19,2022,4,11,November,19,6,Saturday,46,True,Autumn,0
2022-11-20,2022,4,11,November,20,7,Sunday,46,True,Autumn,0
2022-11-21,2022,4,11,November,21,1,Monday,47,False,Autumn,0
2022-11-22,2022,4,11,November,22,2,Tuesday,47,False,Autumn,0
2022-11-23,2022,4,11,November,23,3,Wednesday,47,False,Autumn,0
2022-11-24,2022,4,11,November,24,4,Thursday,47,False,Autumn,0
2022-11-25,2022,4,11,November,25,5,Friday,47,False,Autumn,0
2022-11-26,2022,4,11,November,26,6,Saturday,47,True,Autumn,0
2022-11-27,2022,4,11,November,27,7,Sunday,47,True,Autumn,0
2022-11-28,2022,4,11,November,28,1,Monday,48,False,Autumn,0
2022-11-29,2022,4,11,November,29,2,Tuesday,48,False,Autumn,0
2022-11-30,2022,4,11,November,30,3,Wednesday,48,False,Autumn,0
2022-12-01,2022,4,12,December,1,4,Thursday,48,False,Winter,0
2022-12-02,2022,4,12,December,2,5,Friday,48,False,Winter,0
2022-12-03,2022,4,12,December,3,6,Saturday,48,True,Winter,0
2022-12-04,2022,4,12,December,4,7,Sunday,48,True,Winter,0
2022-12-05,2022,4,12,December,5,1,Monday,49,False,Winter,0
2022-12-06,2022,4,12,December,6,2,Tuesday,49,False,Winter,0
2022-12-07,2022,4,12,December,7,3,Wednesday,49,False,Winter,0
2022-12-08,2022,4,12,December,8,4,Thursday,49,False,Winter,0
2022-12-09,2022,4,12,December,9,5,Friday,49,False,Winter,0
2022-12-10,2022,4,12,December,10,6,Saturday,49,True,Winter,0
2022-12-11,2022,4,12,December,11,7,Sunday,49,True,Winter,0
2022-12-12,2022,4,12,December,12,1,Monday,50,False,Winter,0
2022-12-13,2022,4,12,December,13,2,Tuesday,50,False,Winter,0
2022-12-14,2022,4,12,December,14,3,Wednesday,50,False,Winter,0
2022-12-15,2022,4,12,December,15,4,Thursday,50,False,Winter,0
2022-12-16,2022,4,12,December,16,5,Friday,50,False,Winter,0
2022-12-17,2022,4,12,December,17,6,Saturday,50,True,Winter,0
2022-12-18,2022,4,12,December,18,7,Sunday,50,True,Winter,0
2022-12-19,2022,4,12,December,19,1,Monday,51,False,Winter,0
2022-12-20,2022,4,12,December,20,2,Tuesday,51,False,Winter,0
2022-12-21,2022,4,12,December,21,3,Wednesday,51,False,Winter,0
2022-12-22,2022,4,12,December,22,4,Thursday,51,False,Winter,0
2022-12-23,2022,4,12,December,23,5,Friday,51,False,Winter,0
2022-12-24,2022,4,12,December,24,6,Saturday,51,True,Winter,0
2022-12-25,2022,4,12,December,25,7,Sunday,51,True,Winter,0
2022-12-26,2022,4,12,December,26,1,Monday,52,False,Winter,0
2022-12-27,2022,4,12,December,27,2,Tuesday,52,False,Winter,0
2022-12-28,2022,4,12,December,28,3,Wednesday,52,False,Winter,0
2022-12-29,2022,4,12,December,29,4,Thursday,52,False,Winter,0
2022-12-30,2022,4,12,December,30,5,Friday,52,False,Winter,0
2022-12-31,2022,4,12,December,31,6,Saturday,52,True,Winter,0
2023-01-01,2023,1,1,January,1,7,Sunday,52,True,Winter,0
2023-01-02,2023,1,1,January,2,1,Monday,1,False,Winter,0
2023-01-03,2023,1,1,January,3,2,Tuesday,1,False,Winter,0
2023-01-04,2023,1,1,January,4,3,Wednesday,1,False,Winter,0
2023-01-05,2023,1,1,January,5,4,Thursday,1,False,Winter,0
2023-01-06,2023,1,1,January,6,5,Friday,1,False,Winter,0
2023-01-07,2023,1,1,January,7,6,Saturday,1,True,Winter,0
2023-01-08,2023,1,1,January,8,7,Sunday,1,True,Winter,0
2023-01-09,2023,1,1,January,9,1,Monday,2,False,Winter,0
2023-01-10,2023,1,1,January,10,2,Tuesday,2,False,Winter,0
2023-01-11,2023,1,1,January,11,3,Wednesday,2,False,Winter,0
2023-01-12,2023,1,1,January,12,4,Thursday,2,False,Winter,0
2023-01-13,2023,1,1,January,13,5,Friday,2,False,Winter,0
2023-01-14,2023,1,1,January,14,6,Saturday,2,True,Winter,0
2023-01-15,2023,1,1,January,15,7,Sunday,2,True,Winter,0
2023-01-16,2023,1,1,January,16,1,Monday,3,False,Winter,0
2023-01-17,2023,1,1,January,17,2,Tuesday,3,False,Winter,0
2023-01-18,2023,1,1,January,18,3,Wednesday,3,False,Winter,0
2023-01-19,2023,1,1,January,19,4,Thursday,3,False,Winter,0
2023-01-20,2023,1,1,January,20,5,Friday,3,False,Winter,0
2023-01-21,2023,1,1,January,21,6,Saturday,3,True,Winter,0
2023-01-22,2023,1,1,January,22,7,Sunday,3,True,Winter,0
2023-01-23,2023,1,1,January,23,1,Monday,4,False,Winter,0
2023-01-24,2023,1,1,January,24,2,Tuesday,4,False,Winter,0
2023-01-25,2023,1,1,January,25,3,Wednesday,4,False,Winter,0
2023-01-26,2023,1,1,January,26,4,Thursday,4,False,Winter,0
2023-01-27,2023,1,1,January,27,5,Friday,4,False,Winter,0
2023-01-28,2023,1,1,January,28,6,Saturday,4,True,Winter,0
